n_candidates,perm,optimism,observed
8,47,0.01836426986284967,0.01735239768017116
8,48,0.018208700984308712,0.01735239768017116
8,49,0.019570070738506695,0.01735239768017116
8,50,0.015769597839391247,0.01735239768017116
8,51,0.020384267156904445,0.01735239768017116
8,52,0.01852802579766999,0.01735239768017116
8,53,0.020576804246245084,0.01735239768017116
8,54,0.017663293128958424,0.01735239768017116
8,55,0.020741623471812853,0.01735239768017116
8,56,0.02189407405802024,0.01735239768017116
8,57,0.021832435497810554,0.01735239768017116
8,58,0.01879651249518821,0.01735239768017116
8,59,0.019032094336310368,0.01735239768017116
8,60,0.01660288440532176,0.01735239768017116
8,61,0.01782566377059236,0.01735239768017116
8,62,0.018336018135268084,0.01735239768017116
8,63,0.021065241156144943,0.01735239768017116
8,64,0.02155344467943876,0.01735239768017116
8,65,0.017113565366783323,0.01735239768017116
8,66,0.022872578699926316,0.01735239768017116
8,67,0.01396639231392971,0.01735239768017116
8,68,0.019327689552876004,0.01735239768017116
8,69,0.02130496781021418,0.01735239768017116
8,70,0.021364415860881447,0.01735239768017116
8,71,0.01972100984652625,0.01735239768017116
8,72,0.01738740080523493,0.01735239768017116
8,73,0.019533848980718305,0.01735239768017116
8,74,0.017433052667152005,0.01735239768017116
8,75,0.02229584291326836,0.01735239768017116
8,76,0.02156141418331403,0.01735239768017116
8,77,0.01830146848004166,0.01735239768017116
8,78,0.0210309670947062,0.01735239768017116
8,79,0.02246168508285895,0.01735239768017116
8,80,0.021902215386770174,0.01735239768017116
8,81,0.018737730601740665,0.01735239768017116
8,82,0.014153200589545167,0.01735239768017116
8,83,0.01814633217805761,0.01735239768017116
8,84,0.018764378006961402,0.01735239768017116
8,85,0.01917858195902611,0.01735239768017116
8,86,0.01723615981072879,0.01735239768017116
8,87,0.02538869874176286,0.01735239768017116
8,88,0.02363298404702341,0.01735239768017116
8,89,0.020085207943365657,0.01735239768017116
8,90,0.0188983081379146,0.01735239768017116
8,91,0.013481328779173185,0.01735239768017116
8,92,0.014764950280847455,0.01735239768017116
8,93,0.022274841328064565,0.01735239768017116
8,94,0.014661794391621852,0.01735239768017116
8,95,0.02128055602241663,0.01735239768017116
8,96,0.021087775498144112,0.01735239768017116
8,97,0.021136508273944865,0.01735239768017116
8,98,0.021861163262287153,0.01735239768017116
8,99,0.015808560236423297,0.01735239768017116
15,0,0.0306357955598503,0.02583303160949546
15,1,0.026349656322582016,0.02583303160949546
15,2,0.02856680346392315,0.02583303160949546
15,3,0.024681016001685485,0.02583303160949546
15,4,0.026031001199298798,0.02583303160949546
15,5,0.033223059600418936,0.02583303160949546
15,6,0.029539039704057135,0.02583303160949546
15,7,0.02875669146966242,0.02583303160949546
15,8,0.030986459608528194,0.02583303160949546
15,9,0.02937182015629891,0.02583303160949546
15,10,0.02730784479186743,0.02583303160949546
15,11,0.0297886990493893,0.02583303160949546
15,12,0.029595612219380008,0.02583303160949546
15,13,0.03127077244716514,0.02583303160949546
15,14,0.021221230015825543,0.02583303160949546
15,15,0.029238295478324572,0.02583303160949546
15,16,0.020144685782773175,0.02583303160949546
15,17,0.029697880144337385,0.02583303160949546
15,18,0.026712456878403512,0.02583303160949546
15,19,0.02691029938295253,0.02583303160949546
15,20,0.026764297872356013,0.02583303160949546
15,21,0.026456142039858688,0.02583303160949546
15,22,0.03165582300982461,0.02583303160949546
15,23,0.03366111300659691,0.02583303160949546
15,24,0.03060417688635797,0.02583303160949546
15,25,0.026215392814965544,0.02583303160949546
15,26,0.023606627523333534,0.02583303160949546
