a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,finding,avail,T1ax+T2ax,3,0.00015170957562666963,-0.0007103147740792958,0.0010609754913044394,0.6495,2000
queryseq,finding,avail,FLAIRax+FLAIRsag+SWIax,3,0.0008238293890153983,-0.0003333851826380159,0.0019791356948712937,0.9235,2000
queryseq,finding,avail,T2ax+FLAIRsag+SWIax,3,-0.0003647421613970636,-0.0014601946590288481,0.0007705051600155672,0.281,2000
queryseq,finding,avail,T2ax+FLAIRax+SWIax,3,0.0009346279327622035,-0.00010298813648287352,0.002007258244082306,0.9635,2000
queryseq,finding,avail,T2ax+FLAIRax+FLAIRsag,3,0.0007792717609290093,-0.00017352398155065385,0.0018289591997098188,0.938,2000
queryseq,finding,avail,T1ax+FLAIRsag+SWIax,3,-0.00012393021824209772,-0.0012014983941626253,0.0010450415583909364,0.4345,2000
queryseq,finding,avail,T1ax+FLAIRax+SWIax,3,0.0012443201976498526,0.000175121611009917,0.0023351316947370325,0.9905,2000
queryseq,finding,avail,T1ax+FLAIRax+FLAIRsag,3,0.0010152129155586102,1.3300453860501319e-05,0.0019934760606543896,0.9755,2000
queryseq,finding,avail,T1ax+T2ax+SWIax,3,-0.00029900998324556655,-0.0013299571880868522,0.000737651728686024,0.2945,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRsag,3,0.00022352658831335963,-0.0007250857272407305,0.0011666242737066572,0.674,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax,3,0.0013735653803537602,0.0004622703369079919,0.0023049193236377215,0.999,2000
queryseq,finding,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0006702362686055513,-0.00036690292063889005,0.001761596492064136,0.905,2000
queryseq,finding,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,0.0009153292934234108,-9.29451086131567e-05,0.0019921586923389773,0.964,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-9.49367217043282e-05,-0.0011027333520991216,0.0009457454942398711,0.45,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+SWIax,3,0.0008866502616317761,-8.587263237869222e-05,0.0018867468078313792,0.962,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,0.0009425358756243021,5.553750965705525e-05,0.0018753351600725825,0.9805,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0006476007088421653,-0.0002497817367986904,0.0016310143707398022,0.924,2000
queryseq,finding,budget,1,3,-0.003995839345124119,-0.01607009189303843,0.00751937681751659,0.274,2000
queryseq,finding,budget,2,3,-0.0002537463036732986,-0.008136290165962156,0.007022197829162212,0.489,2000
queryseq,finding,budget,3,3,-0.0019904572196886693,-0.0084970486852762,0.0042935054247783665,0.3045,2000
queryseq,finding,budget,4,3,-0.0009552096803805606,-0.0060371917861873,0.004462482832261879,0.3665,2000
queryseq,finding,budget,5,3,0.00039341535325100135,-0.00044303138232139355,0.0012868067701171312,0.824,2000
queryseq,label_id,avail,SWIax,3,-0.00024277474775984286,-0.0011795762258170618,0.0007160601035413175,0.2935,2000
queryseq,label_id,avail,FLAIRsag,3,0.00025100213006630355,-0.0007649895173327907,0.0013005964043910695,0.6925,2000
queryseq,label_id,avail,FLAIRax,3,0.0017820947750811255,0.0008530446177883028,0.002712994659102009,0.9995,2000
queryseq,label_id,avail,T2ax,3,0.0004835897759974302,-0.00040556255988772303,0.001376619841676855,0.8635,2000
queryseq,label_id,avail,T1ax,3,1.7261639553621386e-05,-0.0008334388620654554,0.0009447268353384935,0.5195,2000
queryseq,label_id,avail,FLAIRsag+SWIax,3,-0.00039184161500242944,-0.001522793021236892,0.0007309435049436095,0.2605,2000
queryseq,label_id,avail,FLAIRax+SWIax,3,0.0014913562188272518,0.0005662568683865797,0.0024151096504934438,1.0,2000
queryseq,label_id,avail,FLAIRax+FLAIRsag,3,0.0012861133653307988,0.0001282448670950613,0.0023949188058715334,0.9845,2000
queryseq,label_id,avail,T2ax+SWIax,3,0.00021721161885792902,-0.0006602763171097086,0.0011565009536400363,0.7015,2000
queryseq,label_id,avail,T2ax+FLAIRsag,3,0.00020076690506407342,-0.0007560058027937508,0.0011416643851173002,0.667,2000
queryseq,label_id,avail,T2ax+FLAIRax,3,0.0013270920413790998,0.0004226339173795693,0.0022699753466069988,0.9965,2000
queryseq,label_id,avail,T1ax+SWIax,3,0.0001464751602893783,-0.0009014316482771421,0.00130302704714611,0.607,2000
queryseq,label_id,avail,T1ax+FLAIRsag,3,0.0006871471347012645,-0.0003092551211646104,0.0017024911189535042,0.9165,2000
queryseq,label_id,avail,T1ax+FLAIRax,3,0.0016382005137932241,0.0006579374838826454,0.002686595457709801,1.0,2000
queryseq,label_id,avail,T1ax+T2ax,3,0.0004811029709759866,-0.00038568946427318835,0.0013864884228926583,0.8565,2000
queryseq,label_id,avail,FLAIRax+FLAIRsag+SWIax,3,0.0008709911781144491,-0.0002343658467702724,0.001941669339682314,0.943,2000
queryseq,label_id,avail,T2ax+FLAIRsag+SWIax,3,0.0002072879150902694,-0.0007577603718800468,0.0012421676916241403,0.687,2000
queryseq,label_id,avail,T2ax+FLAIRax+SWIax,3,0.0010935453167579053,0.00021837386104584696,0.0019784010366363674,0.9935,2000
queryseq,label_id,avail,T2ax+FLAIRax+FLAIRsag,3,0.0010807503916056068,0.00016757320370087758,0.0020166280849486192,0.987,2000
queryseq,label_id,avail,T1ax+FLAIRsag+SWIax,3,0.00039656032439945127,-0.000645113610811543,0.0014583904680542416,0.8005,2000
queryseq,label_id,avail,T1ax+FLAIRax+SWIax,3,0.001184185875630773,0.0001922566115237189,0.002221152350526845,0.992,2000
queryseq,label_id,avail,T1ax+FLAIRax+FLAIRsag,3,0.00126123701244628,0.00025364741422536263,0.002219638527098009,0.993,2000
queryseq,label_id,avail,T1ax+T2ax+SWIax,3,0.00028803888729959156,-0.0006293339673972137,0.001301157109457012,0.733,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRsag,3,0.000749188747964779,-0.00014628892054590454,0.0016713415066672984,0.949,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax,3,0.0015978107313579083,0.0007199552004105798,0.0025374285694586144,0.9995,2000
queryseq,label_id,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0009804686718176477,4.537252847863443e-05,0.0019259528948830968,0.98,2000
queryseq,label_id,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,0.0010500514468750179,7.929471257798268e-05,0.0020707608791652485,0.9835,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRsag+SWIax,3,0.00032779524071872997,-0.0005598475083435023,0.0012704681422983552,0.7745,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+SWIax,3,0.0011280096380747976,0.0002577547340838805,0.0020977177822090573,0.9895,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,0.0013272518832294973,0.00038502552383937855,0.0022509536254335925,0.9975,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0009315902176640973,8.309699301857211e-05,0.0018287336085440946,0.9855,2000
queryseq,label_id,budget,1,3,-0.0001760930335343427,-0.010376636183245865,0.0087066389166521,0.516,2000
queryseq,label_id,budget,2,3,0.002053724042845657,-0.002445089682872405,0.006396252427084429,0.836,2000
queryseq,label_id,budget,3,3,-0.0013251050456781672,-0.006098003720443998,0.003249514679660383,0.3255,2000
queryseq,label_id,budget,4,3,0.0003514023686642201,-0.0036988300435543057,0.004533455083439709,0.5945,2000
queryseq,label_id,budget,5,3,0.0007304090180768391,-5.8323454256725534e-05,0.0015657209187739775,0.9645,2000
