C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,FLAIRax,0010,1,Mega cisterna magna,28,104,9393,0.7668592710981559,0.04626553108442388
0.1,1,FLAIRax,0010,1,Structure of cave of septum pellucidum,29,99,9393,0.7170499920661315,0.03725789729297834
0.1,1,FLAIRax,0010,1,Hyperostosis of skull,30,34,9393,0.6769136974161393,0.04380625363782162
0.1,1,FLAIRax,0010,1,Watershed infarct,31,36,9393,0.7954947573415031,0.017455862481860714
0.1,1,FLAIRax,0010,1,Foraminal Spinal Stenosis,33,60,9393,0.658309225329476,0.012573139492309038
0.1,1,FLAIRax,0010,1,Lipoma of brain,34,22,9393,0.506043790805289,0.0026142830412457896
0.1,1,FLAIRax,0010,1,Glioma,35,66,9393,0.7730586664327418,0.0361813750803009
0.1,1,FLAIRax,0010,1,Pituitary adenoma,36,25,9393,0.5061016225448334,0.003208509176836638
0.1,1,T2ax,0100,1,Cerebral infarction,0,424,9393,0.8053360421746183,0.1968198608668823
0.1,1,T2ax,0100,1,Cerebral hemorrhage,1,294,9393,0.7860266097866776,0.1752776245727817
0.1,1,T2ax,0100,1,Metastatic malignant neoplasm to brain,2,373,9393,0.859355438911445,0.2007800319424071
0.1,1,T2ax,0100,1,Intracranial meningioma,3,181,9393,0.6815839536708065,0.054868252434311995
0.1,1,T2ax,0100,1,Demyelinating disease of central nervous system,4,250,9393,0.8376554741332166,0.2588725435303317
0.1,1,T2ax,0100,1,Herniation of nucleus pulposus,5,138,9393,0.6964351427743719,0.03126069390946079
0.1,1,T2ax,0100,1,Spinal cord compression,6,74,9393,0.5427533983173,0.008754334081821408
0.1,1,T2ax,0100,1,Lacunar infarct,7,213,9393,0.8096678838462875,0.12301366385280327
0.1,1,T2ax,0100,1,Silent micro-hemorrhage of brain,8,195,9393,0.7377495665166899,0.08179081812860307
0.1,1,T2ax,0100,1,Cavernous hemangioma,9,78,9393,0.473361135196884,0.007884725202758215
0.1,1,T2ax,0100,1,Subdural intracranial hemorrhage,10,44,9393,0.7840568753099504,0.04207068613174026
0.1,1,T2ax,0100,1,Gliosis,11,3534,9393,0.7783409558698456,0.6846704221484317
0.1,1,T2ax,0100,1,Cerebral atrophy,12,1310,9393,0.9194594630328661,0.7121244469195918
0.1,1,T2ax,0100,1,Encephalomalacia,13,236,9393,0.7484794442706607,0.11312639551316
0.1,1,T2ax,0100,1,Arachnoid cyst,14,389,9393,0.726478320403728,0.1591864042537852
0.1,1,T2ax,0100,1,Empty sella syndrome,15,351,9393,0.7161965276320508,0.08774729004312593
0.1,1,T2ax,0100,1,Intracranial aneurysm,16,61,9393,0.6863919670023118,0.013955500624264795
0.1,1,T2ax,0100,1,Chiari malformation,17,56,9393,0.797225707247663,0.03866047212305268
0.1,1,T2ax,0100,1,Schwannoma,18,38,9393,0.7147430307462939,0.011524713734053216
0.1,1,T2ax,0100,1,Cyst of pineal gland,19,103,9393,0.6016365859521147,0.01859411381863994
0.1,1,T2ax,0100,1,Hemangioma of vertebral column,20,31,9393,0.6259621944580356,0.00662202575611851
0.1,1,T2ax,0100,1,Cerebral edema,22,533,9393,0.8776095951617617,0.4227890675350413
0.1,1,T2ax,0100,1,Spinal stenosis,23,43,9393,0.661372963561746,0.010584127628765087
0.1,1,T2ax,0100,1,Mastoiditis,24,265,9393,0.7550630033237974,0.10532071845255557
0.1,1,T2ax,0100,1,Chronic mastoiditis,25,211,9393,0.7950347940179683,0.08255543698669929
0.1,1,T2ax,0100,1,Ventriculomegaly,26,889,9393,0.8980473160516272,0.5571642402529857
0.1,1,T2ax,0100,1,Cerebellar degeneration,27,351,9393,0.8277144140891098,0.18235577907406494
0.1,1,T2ax,0100,1,Mega cisterna magna,28,104,9393,0.751550634745812,0.05713493356875228
0.1,1,T2ax,0100,1,Structure of cave of septum pellucidum,29,99,9393,0.7111115458436311,0.041779643571485496
0.1,1,T2ax,0100,1,Hyperostosis of skull,30,34,9393,0.7581063839148225,0.05132265149869351
0.1,1,T2ax,0100,1,Watershed infarct,31,36,9393,0.850605013477729,0.02197200715397436
0.1,1,T2ax,0100,1,Foraminal Spinal Stenosis,33,60,9393,0.6670934676238437,0.014734283652392212
0.1,1,T2ax,0100,1,Lipoma of brain,34,22,9393,0.5655552429642708,0.002977569565061111
0.1,1,T2ax,0100,1,Glioma,35,66,9393,0.7626993641789396,0.039216340115669754
0.1,1,T2ax,0100,1,Pituitary adenoma,36,25,9393,0.4183176771989753,0.003959292763719116
0.1,1,T1ax,1000,1,Cerebral infarction,0,424,9393,0.7822936235292633,0.18963075005013547
0.1,1,T1ax,1000,1,Cerebral hemorrhage,1,294,9393,0.8040795392780699,0.16867299877508335
0.1,1,T1ax,1000,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8496501667429542,0.23255993120743135
0.1,1,T1ax,1000,1,Intracranial meningioma,3,181,9393,0.7209153086413829,0.0537841588373447
0.1,1,T1ax,1000,1,Demyelinating disease of central nervous system,4,250,9393,0.7838893142294651,0.19684978901760367
0.1,1,T1ax,1000,1,Herniation of nucleus pulposus,5,138,9393,0.7265904054995733,0.03173425619295314
0.1,1,T1ax,1000,1,Spinal cord compression,6,74,9393,0.6156094929568479,0.013647641886275312
0.1,1,T1ax,1000,1,Lacunar infarct,7,213,9393,0.7913263166508127,0.12448593358155177
0.1,1,T1ax,1000,1,Silent micro-hemorrhage of brain,8,195,9393,0.7245008669666204,0.056679176522599045
0.1,1,T1ax,1000,1,Cavernous hemangioma,9,78,9393,0.5806488019048406,0.013647364301900507
0.1,1,T1ax,1000,1,Subdural intracranial hemorrhage,10,44,9393,0.8159866393099895,0.032180098565995206
0.1,1,T1ax,1000,1,Gliosis,11,3534,9393,0.7691402553479703,0.6581754389040191
0.1,1,T1ax,1000,1,Cerebral atrophy,12,1310,9393,0.9166768819301275,0.7034251027944265
0.1,1,T1ax,1000,1,Encephalomalacia,13,236,9393,0.7554121788832476,0.13004776048372776
0.1,1,T1ax,1000,1,Arachnoid cyst,14,389,9393,0.6924720118679045,0.1062082092792874
0.1,1,T1ax,1000,1,Empty sella syndrome,15,351,9393,0.6836803369650085,0.07406444344413714
0.1,1,T1ax,1000,1,Intracranial aneurysm,16,61,9393,0.6611746642963047,0.022800382636678225
0.1,1,T1ax,1000,1,Chiari malformation,17,56,9393,0.7319707308863352,0.02206028161497057
0.1,1,T1ax,1000,1,Schwannoma,18,38,9393,0.7535823792511744,0.009822440837387515
0.1,1,T1ax,1000,1,Cyst of pineal gland,19,103,9393,0.6165863701443247,0.016066117241441188
0.1,1,T1ax,1000,1,Hemangioma of vertebral column,20,31,9393,0.6027110281095163,0.005125884343961261
0.1,1,T1ax,1000,1,Cerebral edema,22,533,9393,0.8658735637538699,0.4314052268901095
0.1,1,T1ax,1000,1,Spinal stenosis,23,43,9393,0.6851734858848402,0.011969982077387623
0.1,1,T1ax,1000,1,Mastoiditis,24,265,9393,0.6197017677310535,0.05608742007268763
0.1,1,T1ax,1000,1,Chronic mastoiditis,25,211,9393,0.7902990706110554,0.10266111022561569
0.1,1,T1ax,1000,1,Ventriculomegaly,26,889,9393,0.8939514469204989,0.5430797844680322
0.1,1,T1ax,1000,1,Cerebellar degeneration,27,351,9393,0.8184181322867454,0.1849127050162744
0.1,1,T1ax,1000,1,Mega cisterna magna,28,104,9393,0.7096886722922895,0.033893699041336
