target_kind,seed,target,k,subset,n_pos,auroc
burden_perfold,0,NETC,4,T1n+T1c+T2w+T2f,674,0.817448246540638
burden_perfold,1,ET,1,T2f,677,0.82404919592021
burden_perfold,1,SNFH,1,T2f,683,0.8974408430576623
burden_perfold,1,NETC,1,T2f,681,0.7761500865715475
burden_perfold,1,ET,1,T2w,677,0.842120719354457
burden_perfold,1,SNFH,1,T2w,683,0.8841014895538353
burden_perfold,1,NETC,1,T2w,681,0.8052753851885945
burden_perfold,1,ET,1,T1c,677,0.9140101424945977
burden_perfold,1,SNFH,1,T1c,683,0.846564557561305
burden_perfold,1,NETC,1,T1c,681,0.8474390163718851
burden_perfold,1,ET,1,T1n,677,0.8105010322201719
burden_perfold,1,SNFH,1,T1n,683,0.8222573885903157
burden_perfold,1,NETC,1,T1n,681,0.7865057970061585
burden_perfold,1,ET,2,T2w+T2f,677,0.8426269674642448
burden_perfold,1,SNFH,2,T2w+T2f,683,0.8975153645856164
burden_perfold,1,NETC,2,T2w+T2f,681,0.7974181953667784
burden_perfold,1,ET,2,T1c+T2f,677,0.8826139934867125
burden_perfold,1,SNFH,2,T1c+T2f,683,0.8733638140994732
burden_perfold,1,NETC,2,T1c+T2f,681,0.8202336335941439
burden_perfold,1,ET,2,T1c+T2w,677,0.901728694844159
burden_perfold,1,SNFH,2,T1c+T2w,683,0.8676716844495489
burden_perfold,1,NETC,2,T1c+T2w,681,0.8302342910995681
burden_perfold,1,ET,2,T1n+T2f,677,0.8288223923839245
burden_perfold,1,SNFH,2,T1n+T2f,683,0.8685703264042924
burden_perfold,1,NETC,2,T1n+T2f,681,0.7836916737896422
burden_perfold,1,ET,2,T1n+T2w,677,0.8372160298752132
burden_perfold,1,SNFH,2,T1n+T2w,683,0.8571751080562156
burden_perfold,1,NETC,2,T1n+T2w,681,0.8056194796940408
burden_perfold,1,ET,2,T1n+T1c,677,0.8880468465783324
burden_perfold,1,SNFH,2,T1n+T1c,683,0.8438423299813259
burden_perfold,1,NETC,2,T1n+T1c,681,0.8335426392267736
burden_perfold,1,ET,3,T1c+T2w+T2f,677,0.8835870418016296
burden_perfold,1,SNFH,3,T1c+T2w+T2f,683,0.8784356616196597
