C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Intracranial aneurysm,16,32,12412,0.5724606219709208,0.006010812816582182
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Chiari malformation,17,62,12412,0.8192477471594619,0.044926534609709814
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cyst of pineal gland,19,244,12412,0.7037001110141086,0.04227614502819956
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Rathke's pouch cyst,21,47,12412,0.720179642264112,0.008989639240383904
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cerebral edema,22,187,12412,0.8569412639567818,0.3543428426254686
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Spinal stenosis,23,26,12412,0.7062968115365984,0.005871830414493382
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Mastoiditis,24,281,12412,0.7419235035324634,0.072328104397797
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Chronic mastoiditis,25,360,12412,0.7742216598443781,0.10189578813787634
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Ventriculomegaly,26,1204,12412,0.9183945645137195,0.6420724822933257
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Cerebellar degeneration,27,318,12412,0.8547962345276466,0.17350108016729776
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Mega cisterna magna,28,225,12412,0.811327553039213,0.11244570132292726
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Structure of cave of septum pellucidum,29,238,12412,0.7187441758369193,0.09321873743068783
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Hyperostosis of skull,30,55,12412,0.9179177058273926,0.1343913287909775
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Choroid plexus cyst,32,57,12412,0.6257627070509134,0.009213732373028263
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Lipoma of brain,34,34,12412,0.6044690294925532,0.0037161257953901225
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Glioma,35,35,12412,0.864578307690532,0.07317853551271175
0.1,1,T1ax+FLAIRax+T2cor,1011,3,Pituitary adenoma,36,57,12412,0.6299601695456771,0.009299853912398178
0.1,1,T1ax+T2ax+T2cor,1101,3,Cerebral infarction,0,339,12412,0.8374507390757358,0.19842156967915792
0.1,1,T1ax+T2ax+T2cor,1101,3,Cerebral hemorrhage,1,92,12412,0.711618612365895,0.07125605682246852
0.1,1,T1ax+T2ax+T2cor,1101,3,Metastatic malignant neoplasm to brain,2,50,12412,0.7761284581782882,0.04514837065366754
0.1,1,T1ax+T2ax+T2cor,1101,3,Intracranial meningioma,3,148,12412,0.6831811630613001,0.026797273042206228
0.1,1,T1ax+T2ax+T2cor,1101,3,Demyelinating disease of central nervous system,4,294,12412,0.7888035227294417,0.21477742882581946
0.1,1,T1ax+T2ax+T2cor,1101,3,Herniation of nucleus pulposus,5,29,12412,0.6037309214245337,0.006107507977559909
0.1,1,T1ax+T2ax+T2cor,1101,3,Spinal cord compression,6,22,12412,0.6479712378017463,0.006145006106131046
0.1,1,T1ax+T2ax+T2cor,1101,3,Lacunar infarct,7,189,12412,0.8474382799016685,0.1318195674524761
0.1,1,T1ax+T2ax+T2cor,1101,3,Silent micro-hemorrhage of brain,8,78,12412,0.8504467533979452,0.07706934774717486
0.1,1,T1ax+T2ax+T2cor,1101,3,Cavernous hemangioma,9,67,12412,0.5762511863525629,0.008762830099127235
0.1,1,T1ax+T2ax+T2cor,1101,3,Subdural intracranial hemorrhage,10,26,12412,0.7505216808058726,0.08410146653930133
0.1,1,T1ax+T2ax+T2cor,1101,3,Gliosis,11,3854,12412,0.8037114312509421,0.6495374689355674
0.1,1,T1ax+T2ax+T2cor,1101,3,Cerebral atrophy,12,2012,12412,0.9497718974613856,0.8194122036403197
0.1,1,T1ax+T2ax+T2cor,1101,3,Encephalomalacia,13,248,12412,0.8193734685109949,0.15828487943942007
0.1,1,T1ax+T2ax+T2cor,1101,3,Arachnoid cyst,14,572,12412,0.6943258599508599,0.14422025195330992
0.1,1,T1ax+T2ax+T2cor,1101,3,Empty sella syndrome,15,670,12412,0.7735732426269267,0.17234288093001068
0.1,1,T1ax+T2ax+T2cor,1101,3,Intracranial aneurysm,16,32,12412,0.5290261510500807,0.0035218634216272466
0.1,1,T1ax+T2ax+T2cor,1101,3,Chiari malformation,17,62,12412,0.8175995820817553,0.05071631949641652
0.1,1,T1ax+T2ax+T2cor,1101,3,Cyst of pineal gland,19,244,12412,0.7137526810446104,0.043927417767146294
0.1,1,T1ax+T2ax+T2cor,1101,3,Rathke's pouch cyst,21,47,12412,0.7429136805155251,0.009712357607065882
0.1,1,T1ax+T2ax+T2cor,1101,3,Cerebral edema,22,187,12412,0.8361812276500115,0.33556497771305355
0.1,1,T1ax+T2ax+T2cor,1101,3,Spinal stenosis,23,26,12412,0.7280583537244283,0.007120302672886427
0.1,1,T1ax+T2ax+T2cor,1101,3,Mastoiditis,24,281,12412,0.759920394530527,0.0878576020635967
0.1,1,T1ax+T2ax+T2cor,1101,3,Chronic mastoiditis,25,360,12412,0.7657136206069992,0.09843522852887153
0.1,1,T1ax+T2ax+T2cor,1101,3,Ventriculomegaly,26,1204,12412,0.9233107403112633,0.6447290947090036
0.1,1,T1ax+T2ax+T2cor,1101,3,Cerebellar degeneration,27,318,12412,0.8441222478426331,0.18475042223168797
0.1,1,T1ax+T2ax+T2cor,1101,3,Mega cisterna magna,28,225,12412,0.8105536865330086,0.11955741710510367
0.1,1,T1ax+T2ax+T2cor,1101,3,Structure of cave of septum pellucidum,29,238,12412,0.708723509117792,0.07925428744427168
