seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
2,0.01,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax,2,0.001988531830995034,-0.014921367774839505,-0.060155019884651065,False
2,0.02,Demyelinating disease of central nervous system,21,294,FLAIRax,1,-0.015967086639952655,-0.017912586795803823,-0.09777096163280763,True
2,0.005,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Lacunar infarct,21,189,T2ax+FLAIRax+T2cor,3,-0.013812250285535474,0.0006248977272046316,-0.013445450581580734,True
2,0.005,Gliosis,451,3854,T2ax+FLAIRax,2,-0.0033131063589052425,-0.0008116259685474126,-0.009804093747743929,True
2,0.01,Gliosis,451,3854,FLAIRax,1,-0.009884886225196005,-0.0021316333032545967,-0.013700251371802242,True
2,0.02,Gliosis,451,3854,FLAIRax,1,-0.009884886225196005,-0.0021316333032545967,-0.013700251371802242,True
2,0.005,Cerebral atrophy,213,2012,T2ax+T2cor,2,-0.004673658649750511,-0.0036769451108756234,-0.009619523419131226,True
2,0.01,Cerebral atrophy,213,2012,T2ax,1,-0.007466884694150058,-0.0029218789914824007,-0.008589856904493886,True
2,0.02,Cerebral atrophy,213,2012,T2ax,1,-0.007466884694150058,-0.0029218789914824007,-0.008589856904493886,True
2,0.005,Encephalomalacia,25,248,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Encephalomalacia,25,248,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Encephalomalacia,25,248,T1ax+FLAIRax,2,-0.016096090776389474,-0.025955614578689473,-0.12277024295555758,False
2,0.005,Arachnoid cyst,69,572,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Arachnoid cyst,69,572,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.02,Arachnoid cyst,69,572,T2ax+FLAIRax+T2cor,3,-0.016892018648897316,0.0008967091929425275,-0.02090547054896418,True
2,0.005,Empty sella syndrome,82,670,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
2,0.01,Empty sella syndrome,82,670,T1ax+T2ax,2,-0.00991265003023553,-0.021086162363019634,-0.05019051763615716,False
2,0.02,Empty sella syndrome,82,670,T1ax+T2ax,2,-0.00991265003023553,-0.021086162363019634,-0.05019051763615716,False
2,0.005,Cerebral edema,23,187,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
