shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
field,3.0,uniform,0,availability,2726,0.7202798288097275,0.7134181298968987,0.6910433788816798,,,,
field,3.0,uniform,0,budget,2726,,,,1.0,0.6910436084441631,0.1269342190054152,0.4803150519673348
field,3.0,uniform,0,budget,2726,,,,2.0,0.7129196235069962,0.1379725378477956,0.4532445102393289
field,3.0,uniform,0,budget,2726,,,,3.0,0.71715345623223,0.14195369704829652,0.4658046508758944
field,3.0,uniform,0,budget,2726,,,,4.0,0.7174713178166039,0.14307778726685197,0.4684801381692574
field,3.0,uniform,0,budget,2726,,,,5.0,0.7202796585342615,0.14533298391610608,0.450499629903775
field,3.0,patient,0,availability,2726,0.7203487937080443,0.7134438582756701,0.6908806645712021,,,,
field,3.0,patient,0,budget,2726,,,,1.0,0.7085602369939754,0.13755917506881216,0.4933153932037445
field,3.0,patient,0,budget,2726,,,,2.0,0.7194878886498824,0.1418373964489604,0.4433906982482112
field,3.0,patient,0,budget,2726,,,,3.0,0.7173540661496203,0.1426499859877848,0.46206513693560325
field,3.0,patient,0,budget,2726,,,,4.0,0.7175085245731795,0.14312112287202025,0.46895817912657295
field,3.0,patient,0,budget,2726,,,,5.0,0.7202193454337479,0.14529912389263536,0.45111645694547253
field,3.0,finding,0,availability,2726,0.720405513331683,0.7135381388077078,0.6910297005237228,,,,
field,3.0,finding,0,budget,2726,,,,1.0,0.715123578236344,0.13795331944753517,0.4795262620638456
field,3.0,finding,0,budget,2726,,,,2.0,0.7153554293162938,0.14137377789646083,0.4539692820133235
field,3.0,finding,0,budget,2726,,,,3.0,0.7174125696337255,0.14331953851915571,0.46593572662225513
field,3.0,finding,0,budget,2726,,,,4.0,0.7200081102059562,0.1438883949817552,0.4684801381692574
field,3.0,finding,0,budget,2726,,,,5.0,0.7203453953869806,0.1452720770883368,0.44983654083395014
field,3.0,label_id,0,availability,2726,0.7204045980430562,0.7135591332041166,0.6910008527397563,,,,
field,3.0,label_id,0,budget,2726,,,,1.0,0.7088062016175929,0.1365722681824715,0.49566287824568434
field,3.0,label_id,0,budget,2726,,,,2.0,0.7177217445144866,0.1420693444141199,0.4460276338514681
field,3.0,label_id,0,budget,2726,,,,3.0,0.7184724832289685,0.1439675131822189,0.4582099679249938
field,3.0,label_id,0,budget,2726,,,,4.0,0.7160069430859565,0.14199998275418116,0.44974401677769554
field,3.0,label_id,0,budget,2726,,,,5.0,0.7204056647212337,0.1453244972768367,0.4493893412287195
field,3.0,queryseq,0,availability,2726,0.7203339738203495,0.7133215597193187,0.6913406520414614,,,,
field,3.0,queryseq,0,budget,2726,,,,1.0,0.7074839905963651,0.12659704606026792,0.4960368862570935
field,3.0,queryseq,0,budget,2726,,,,2.0,0.7132450059026486,0.13823921584913748,0.4830372563533185
field,3.0,queryseq,0,budget,2726,,,,3.0,0.7165271486471546,0.14276051794391045,0.47884283246977544
field,3.0,queryseq,0,budget,2726,,,,4.0,0.7182872654009653,0.14370485463737348,0.469559585492228
field,3.0,queryseq,0,budget,2726,,,,5.0,0.720204479713126,0.1453681161246808,0.45167160128300027
field,3.0,uniform,1,availability,2726,0.7292173765068902,0.7210319621773953,0.6896105402555053,,,,
field,3.0,uniform,1,budget,2726,,,,1.0,0.6896105402555053,0.1234478113646648,0.4914354966457683
field,3.0,uniform,1,budget,2726,,,,2.0,0.720109892689214,0.13560573751805435,0.5005677860162415
field,3.0,uniform,1,budget,2726,,,,3.0,0.7231591886804855,0.13981806616806017,0.4966266830799767
field,3.0,uniform,1,budget,2726,,,,4.0,0.724473248569718,0.14061843740479943,0.5084404492666496
field,3.0,uniform,1,budget,2726,,,,5.0,0.7292173886079801,0.14361043138164722,0.49522391762808593
field,3.0,patient,1,availability,2726,0.7292158241039463,0.7210651520598482,0.6896179263917447,,,,
field,3.0,patient,1,budget,2726,,,,1.0,0.7100198562685937,0.13398959021623824,0.4896033131984006
field,3.0,patient,1,budget,2726,,,,2.0,0.728827521483669,0.14074614946755712,0.5159218650100674
field,3.0,patient,1,budget,2726,,,,3.0,0.7262954529372777,0.1417963419247177,0.5230406611128605
field,3.0,patient,1,budget,2726,,,,4.0,0.7245618453655954,0.14068392831001084,0.5111600965713359
field,3.0,patient,1,budget,2726,,,,5.0,0.7292950695175687,0.14378125049708668,0.4986735755250828
field,3.0,finding,1,availability,2726,0.7293550413609889,0.721130861092484,0.689708703686217,,,,
field,3.0,finding,1,budget,2726,,,,1.0,0.7146057339800108,0.13714407921664676,0.49090110980695273
field,3.0,finding,1,budget,2726,,,,2.0,0.725670052136695,0.1400973931238485,0.5006918401038237
field,3.0,finding,1,budget,2726,,,,3.0,0.72540931754307,0.14227820825786527,0.4974282633382001
field,3.0,finding,1,budget,2726,,,,4.0,0.7273132075560236,0.14267270307496005,0.48624431021155995
