finding,n_pos,sequence,shapley,shapley_sd_seed
Cerebellar degeneration,351,SWIax,0.044369708795905106,0.0017137900571659885
Mega cisterna magna,104,T1ax,0.033906175096359716,0.009657179855450277
Mega cisterna magna,104,T2ax,0.07598911047714742,0.006497400495829117
Mega cisterna magna,104,FLAIRax,0.06173086469337408,0.007461106384957177
Mega cisterna magna,104,FLAIRsag,0.036609707695804176,0.0060430214976909865
Mega cisterna magna,104,SWIax,0.019263893604511556,0.008038551601984767
Structure of cave of septum pellucidum,99,T1ax,0.05392470782955683,0.00840285502350541
Structure of cave of septum pellucidum,99,T2ax,0.0643970972426607,0.0020341493194159397
Structure of cave of septum pellucidum,99,FLAIRax,0.05089027484031428,0.008332000548604222
Structure of cave of septum pellucidum,99,FLAIRsag,0.03451134977926457,0.006079459864124313
Structure of cave of septum pellucidum,99,SWIax,0.0036144567401292117,0.006553869812933924
Hyperostosis of skull,34,T1ax,0.038141809952602336,0.008576063738259912
Hyperostosis of skull,34,T2ax,0.06676639242084269,0.0035703155866879752
Hyperostosis of skull,34,FLAIRax,0.023528198364860784,0.007330472335849232
Hyperostosis of skull,34,FLAIRsag,0.06132237362658851,0.009453725286433933
Hyperostosis of skull,34,SWIax,0.048323369487411026,0.009324146645070473
Watershed infarct,36,T1ax,0.07477779558975454,0.010098604261276354
Watershed infarct,36,T2ax,0.08213034870572898,0.0070036191490090785
Watershed infarct,36,FLAIRax,0.044581341030746124,0.009253236702639576
Watershed infarct,36,FLAIRsag,0.06849025025167667,0.009300761826687909
Watershed infarct,36,SWIax,0.039817544335329615,0.004429031954290531
Foraminal Spinal Stenosis,60,T1ax,0.06034070165204314,0.01302933286229407
Foraminal Spinal Stenosis,60,T2ax,0.003136376894412913,0.01987009847814202
Foraminal Spinal Stenosis,60,FLAIRax,0.03352146505232329,0.003863847691130836
Foraminal Spinal Stenosis,60,FLAIRsag,0.0659889688520622,0.0042764780647678805
Foraminal Spinal Stenosis,60,SWIax,0.0164843734498454,0.0005814669145584708
Lipoma of brain,22,T1ax,0.07873010329525111,0.012380583739643755
Lipoma of brain,22,T2ax,0.029316023321465667,0.013028794822123404
Lipoma of brain,22,FLAIRax,-0.02374877254025692,0.028717193834611812
Lipoma of brain,22,FLAIRsag,-0.009449472852524825,0.004423709926447086
Lipoma of brain,22,SWIax,-0.014145617955243403,0.011709737562491065
Glioma,66,T1ax,0.043538558271323385,0.00562333876731133
Glioma,66,T2ax,0.053410990646972224,0.0015419736566780566
Glioma,66,FLAIRax,0.05861604681964927,0.004929847687359839
Glioma,66,FLAIRsag,0.038823778870149636,0.002540228429897332
Glioma,66,SWIax,0.07649384376627864,0.0011311822123109513
Pituitary adenoma,25,T1ax,0.05255728721890124,0.0201186156355207
Pituitary adenoma,25,T2ax,-0.04123404734794572,0.01290789225281245
Pituitary adenoma,25,FLAIRax,-0.011222364550716388,0.011469371829276875
Pituitary adenoma,25,FLAIRsag,0.05036513189107125,0.01726560667919589
Pituitary adenoma,25,SWIax,0.002931373944396992,0.01389772108322725
