finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Arachnoid cyst,69,0.7244729907773386,0.13485541332210274,uniform,0,availability,T1ax+T2cor,2,-1
Empty sella syndrome,82,0.7066264533613078,0.14285487759707877,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral edema,23,0.8076670055618682,0.14491230260110832,uniform,0,availability,T1ax+T2cor,2,-1
Mastoiditis,23,0.6621613539860056,0.03732823734971207,uniform,0,availability,T1ax+T2cor,2,-1
Chronic mastoiditis,37,0.7563063063063064,0.060505333059284065,uniform,0,availability,T1ax+T2cor,2,-1
Ventriculomegaly,131,0.8822068214557127,0.4628157358406102,uniform,0,availability,T1ax+T2cor,2,-1
Cerebellar degeneration,43,0.8937433103045636,0.3013150891137448,uniform,0,availability,T1ax+T2cor,2,-1
Mega cisterna magna,23,0.7458285987680162,0.0519069716925087,uniform,0,availability,T1ax+T2cor,2,-1
Structure of cave of septum pellucidum,22,0.6584192439862543,0.060894266614906246,uniform,0,availability,T1ax+T2cor,2,-1
Cerebral infarction,42,0.9138875062220009,0.34586965712422174,uniform,0,availability,T1ax+FLAIRax,2,-1
Demyelinating disease of central nervous system,21,0.7628859236002092,0.1079183702984852,uniform,0,availability,T1ax+FLAIRax,2,-1
Lacunar infarct,21,0.8994309262166404,0.18217450561164036,uniform,0,availability,T1ax+FLAIRax,2,-1
Gliosis,451,0.7692414085225382,0.5990611694608112,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral atrophy,213,0.9572821952813929,0.7902623757668177,uniform,0,availability,T1ax+FLAIRax,2,-1
Encephalomalacia,25,0.8771900826446282,0.21576912888492,uniform,0,availability,T1ax+FLAIRax,2,-1
Arachnoid cyst,69,0.7179883069828722,0.12491715505524544,uniform,0,availability,T1ax+FLAIRax,2,-1
Empty sella syndrome,82,0.7036454235510097,0.14975407389094694,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral edema,23,0.8065307098857724,0.15443777197913067,uniform,0,availability,T1ax+FLAIRax,2,-1
Mastoiditis,23,0.6219424675557682,0.04443758764532248,uniform,0,availability,T1ax+FLAIRax,2,-1
Chronic mastoiditis,37,0.7490427927927928,0.06412986591212864,uniform,0,availability,T1ax+FLAIRax,2,-1
Ventriculomegaly,131,0.8912242097024828,0.4829695056360977,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebellar degeneration,43,0.9051928254030035,0.3001145838784096,uniform,0,availability,T1ax+FLAIRax,2,-1
Mega cisterna magna,23,0.797888882243885,0.06288033711529255,uniform,0,availability,T1ax+FLAIRax,2,-1
Structure of cave of septum pellucidum,22,0.6514526710402999,0.04518516851421104,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral infarction,42,0.9112493777999005,0.314558589519671,uniform,0,availability,T1ax+T2ax,2,-1
Demyelinating disease of central nervous system,21,0.7604984301412873,0.09884873480448715,uniform,0,availability,T1ax+T2ax,2,-1
Lacunar infarct,21,0.9097985347985348,0.18161704858172847,uniform,0,availability,T1ax+T2ax,2,-1
Gliosis,451,0.7716877806736601,0.5933640722276936,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral atrophy,213,0.9506262257086825,0.7663426615848731,uniform,0,availability,T1ax+T2ax,2,-1
Encephalomalacia,25,0.8803581267217631,0.16113107803209398,uniform,0,availability,T1ax+T2ax,2,-1
Arachnoid cyst,69,0.7078598484848485,0.12292715300727763,uniform,0,availability,T1ax+T2ax,2,-1
Empty sella syndrome,82,0.7028411574438326,0.15847991393028418,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral edema,23,0.8169068835595956,0.17163433811998483,uniform,0,availability,T1ax+T2ax,2,-1
Mastoiditis,23,0.6646133604449495,0.05113254431024211,uniform,0,availability,T1ax+T2ax,2,-1
Chronic mastoiditis,37,0.7500938438438438,0.06237524966328252,uniform,0,availability,T1ax+T2ax,2,-1
Ventriculomegaly,131,0.8786282227238184,0.4767919377910893,uniform,0,availability,T1ax+T2ax,2,-1
Cerebellar degeneration,43,0.8913431286691966,0.322667272932618,uniform,0,availability,T1ax+T2ax,2,-1
Mega cisterna magna,23,0.7882901740326536,0.059941258426425614,uniform,0,availability,T1ax+T2ax,2,-1
Structure of cave of septum pellucidum,22,0.6316151202749141,0.04680240520674981,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral infarction,42,0.91543056246889,0.32169038435368136,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.777537938252224,0.13287360206293097,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Lacunar infarct,21,0.9176151229722658,0.17850604440027404,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Gliosis,451,0.7732945630891715,0.605128471442024,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral atrophy,213,0.9543664943245974,0.7728533600804992,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Encephalomalacia,25,0.879090909090909,0.1412546506821305,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Arachnoid cyst,69,0.7347867259552042,0.13271978590572084,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Empty sella syndrome,82,0.7066177113384038,0.16049127151024303,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral edema,23,0.8322767777046827,0.18929123138508136,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Mastoiditis,23,0.6469708749476706,0.051158643176564385,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Chronic mastoiditis,37,0.7539039039039039,0.06105929230195302,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Ventriculomegaly,131,0.891694928711591,0.4857579001254765,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebellar degeneration,43,0.8910674321299991,0.2981439582675268,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Mega cisterna magna,23,0.7586866814185754,0.05664946373639435,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6982193064667291,0.057088085610407124,uniform,0,availability,T2ax+FLAIRax+T2cor,3,-1
Cerebral infarction,42,0.9166583706653392,0.34971178159081406,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.7705716902145473,0.12974029322526912,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Lacunar infarct,21,0.9092425431711145,0.19317369776860085,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Gliosis,451,0.7764227642276422,0.6116204625475286,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral atrophy,213,0.958162476971534,0.789382491359244,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Encephalomalacia,25,0.8747933884297521,0.18010334470738068,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Arachnoid cyst,69,0.7345191040843215,0.13666260609713346,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Empty sella syndrome,82,0.7076230439723753,0.15248808378023185,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral edema,23,0.8170563961485556,0.15762488948777514,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Mastoiditis,23,0.6448178936666468,0.04843883220364003,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Chronic mastoiditis,37,0.7589902402402403,0.06172040236677415,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Ventriculomegaly,131,0.8927214364302485,0.4818171402183129,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebellar degeneration,43,0.8998410690538744,0.293547743833897,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Mega cisterna magna,23,0.7678966568985108,0.0593546272343312,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6826929084661043,0.057866798254699585,uniform,0,availability,T1ax+FLAIRax+T2cor,3,-1
Cerebral infarction,42,0.9142857142857143,0.3434218158993151,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Demyelinating disease of central nervous system,21,0.7706043956043955,0.12704458848049938,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Lacunar infarct,21,0.9151622187336472,0.20448028186784306,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Gliosis,451,0.776353608831144,0.6057882820865572,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral atrophy,213,0.952550216913294,0.7703036219248285,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Encephalomalacia,25,0.8755096418732783,0.14617456242355645,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Arachnoid cyst,69,0.7235569005270092,0.1329298674206791,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Empty sella syndrome,82,0.7072471369874989,0.1553051238330979,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral edema,23,0.8215716763351474,0.17255521766603915,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Mastoiditis,23,0.6681418575444052,0.05039015653530872,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Chronic mastoiditis,37,0.7567379879879881,0.061439648784646014,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Ventriculomegaly,131,0.8832786996812724,0.47577105595702635,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebellar degeneration,43,0.8897051668774935,0.31463527265566255,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Mega cisterna magna,23,0.7595239519167514,0.05710487186146945,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Structure of cave of septum pellucidum,22,0.6645110902842861,0.05517524286411808,uniform,0,availability,T1ax+T2ax+T2cor,3,-1
Cerebral infarction,42,0.9146341463414633,0.3276065516410417,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Demyelinating disease of central nervous system,21,0.7741692830978546,0.12775133291302998,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Lacunar infarct,21,0.910223704866562,0.16999502026580393,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Gliosis,451,0.7724160734430311,0.5997976467922828,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Cerebral atrophy,213,0.9567770547334641,0.7859219046553745,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Encephalomalacia,25,0.8843250688705234,0.16834776310819402,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Arachnoid cyst,69,0.7212821146245059,0.13357704309595742,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
Empty sella syndrome,82,0.705157793513419,0.15632558385428594,uniform,0,availability,T1ax+T2ax+FLAIRax,3,-1
