finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Empty sella syndrome,45,0.6316605467156262,0.07778949281959613,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7352358303606817,0.06400481854659221,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cerebral edema,43,0.9135928670812392,0.5623334892716055,queryseq,0,availability,T1ax+FLAIRax,2,-1
Mastoiditis,22,0.6759199134199133,0.055273268171985815,queryseq,0,availability,T1ax+FLAIRax,2,-1
Ventriculomegaly,64,0.8923872180451128,0.41142586235925915,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.8537869582827056,0.28296424852890445,queryseq,0,availability,T1ax+FLAIRax,2,-1
Mega cisterna magna,22,0.6357683982683983,0.041588672720362416,queryseq,0,availability,T1ax+FLAIRax,2,-1
Cerebral infarction,26,0.8594037541405963,0.2755301114613717,queryseq,0,availability,T1ax+T2ax,2,-1
Cerebral hemorrhage,20,0.8557007125890737,0.1776350490173092,queryseq,0,availability,T1ax+T2ax,2,-1
Gliosis,284,0.7235062624884253,0.5576805176647675,queryseq,0,availability,T1ax+T2ax,2,-1
Cerebral atrophy,102,0.922561919504644,0.6592951061426182,queryseq,0,availability,T1ax+T2ax,2,-1
Arachnoid cyst,43,0.7026436096203539,0.09910693873463437,queryseq,0,availability,T1ax+T2ax,2,-1
Empty sella syndrome,45,0.643030055759554,0.0940689800471331,queryseq,0,availability,T1ax+T2ax,2,-1
Cyst of pineal gland,21,0.7633769322235434,0.06384324453468061,queryseq,0,availability,T1ax+T2ax,2,-1
Cerebral edema,43,0.8852258852258852,0.4680184076378555,queryseq,0,availability,T1ax+T2ax,2,-1
Mastoiditis,22,0.6771103896103896,0.049277992895522094,queryseq,0,availability,T1ax+T2ax,2,-1
Ventriculomegaly,64,0.8926613408521303,0.41663407992666157,queryseq,0,availability,T1ax+T2ax,2,-1
Cerebellar degeneration,39,0.8341589556656385,0.29869231898873444,queryseq,0,availability,T1ax+T2ax,2,-1
Mega cisterna magna,22,0.5876623376623377,0.032101147494734014,queryseq,0,availability,T1ax+T2ax,2,-1
Cerebral infarction,26,0.8350202429149798,0.29212217403389396,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8780285035629454,0.16849175273741657,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7158487255714217,0.5704628512242998,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9364680082559339,0.7211831246121558,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6971916971916972,0.08672408890705939,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6323949408404733,0.08197223966966284,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7701149425287356,0.07027550738678023,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9171422892353125,0.5049384141984915,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6676948051948052,0.054921944910488005,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8875117481203008,0.41068724731749995,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8526965136928685,0.3018395806167497,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.6098484848484849,0.056745281252663746,queryseq,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8455097534044903,0.2593710743559185,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.87541567695962,0.16618084210633807,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7243895901359716,0.5551810431832055,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9294246646026831,0.6794295460467503,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6980151631314422,0.08654920987725144,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6378892968856249,0.08433553668110874,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7848932676518884,0.07019124734793027,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9041656018400205,0.4720098690938837,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6668831168831169,0.05149758661698972,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8888236215538847,0.4134698945192799,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8336604667102845,0.2793490527508031,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.5919372294372295,0.036462619189382484,queryseq,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8429793890320205,0.32290897713319944,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral hemorrhage,20,0.8665083135391924,0.14972840304316132,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Gliosis,284,0.7226107510112578,0.5635772852244743,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral atrophy,102,0.9354747162022704,0.706622473420117,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Arachnoid cyst,43,0.7093733140244769,0.09140398815649316,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Empty sella syndrome,45,0.6372637018903848,0.09594561189801393,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cyst of pineal gland,21,0.7821754147556763,0.07382737900393575,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral edema,43,0.9069767441860465,0.49084131234826955,queryseq,0,availability,T2ax+FLAIRax+SWIax,3,-1
