seed,lattice,n_candidates,frac_patients,n_studies,rep,naive,crossfit,optimism
1,real,4,0.25,3105,3,0.7920409759465996,0.7614332873915597,0.030607688555039925
1,null,4,0.25,3105,3,0.5490620724635721,0.5175980073849991,0.03146406507857302
1,real,4,0.25,3097,4,0.8078842063100289,0.7785635041374876,0.029320702172541235
1,null,4,0.25,3097,4,0.5554321799926338,0.5171366391302012,0.03829554086243259
1,real,4,0.25,3079,5,0.7980965629808404,0.7674205846507857,0.030675978330054754
1,null,4,0.25,3079,5,0.546337997446463,0.5065713538144595,0.03976664363200355
1,real,4,0.5,6222,0,0.785543578252144,0.7703765206658917,0.015167057586252364
1,null,4,0.5,6222,0,0.5339246223845934,0.5074164091940992,0.026508213190494123
1,real,4,0.5,6213,1,0.7887527089136501,0.7709830168672717,0.01776969204637846
1,null,4,0.5,6213,1,0.528642705046698,0.49907286086660224,0.029569844180095728
1,real,4,0.5,6223,2,0.7915156115663193,0.7760331972505341,0.015482414315785231
1,null,4,0.5,6223,2,0.530616455051316,0.5034189309504716,0.027197524100844417
1,real,4,0.5,6197,3,0.7887975367376222,0.7745729061368966,0.014224630600725652
1,null,4,0.5,6197,3,0.5248075524508167,0.5031867461448063,0.021620806306010376
1,real,4,0.5,6197,4,0.7769369799261805,0.7626013293602621,0.014335650565918345
1,null,4,0.5,6197,4,0.5334852670617714,0.5126065180608461,0.020878749000925234
1,real,4,0.5,6177,5,0.7936787451103134,0.7852707806219124,0.008407964488401087
1,null,4,0.5,6177,5,0.524110402378851,0.4983771183883609,0.025733283990490075
1,real,4,1.0,12412,0,0.780112897713697,0.7737983646296868,0.006314533084010199
1,null,4,1.0,12412,0,0.5172056685076241,0.503354859661306,0.013850808846318063
1,real,4,1.0,12412,1,0.7765207075350787,0.7699733917624391,0.0065473157726396725
1,null,4,1.0,12412,1,0.5211616029799228,0.5074232073285618,0.013738395651360924
1,real,4,1.0,12412,2,0.7845333517910054,0.7762245401435913,0.008308811647414038
1,null,4,1.0,12412,2,0.5172094014059957,0.5009531254308397,0.016256275975155998
1,real,4,1.0,12412,3,0.7782551614798251,0.7728046536668246,0.005450507813000494
1,null,4,1.0,12412,3,0.518972703916295,0.5003009569123603,0.018671747003934702
1,real,4,1.0,12412,4,0.7866283726579231,0.7766757360552,0.009952636602723053
1,null,4,1.0,12412,4,0.5200499102445924,0.5029028443094545,0.017147065935137817
1,real,4,1.0,12412,5,0.7831468046205008,0.7733051690943031,0.009841635526197656
1,null,4,1.0,12412,5,0.5180084261457697,0.505137205202513,0.012871220943256656
1,real,8,0.1,1230,0,0.8186401185973836,0.76648658757065,0.05215353102673359
1,null,8,0.1,1230,0,0.5747010353684225,0.4790734617981899,0.09562757357023266
1,real,8,0.1,1241,1,0.8055842774336597,0.7694831599488845,0.03610111748477518
1,null,8,0.1,1241,1,0.5979139482215142,0.5262009040928677,0.07171304412864654
1,real,8,0.1,1249,2,0.8460874356300958,0.7884145354155696,0.0576729002145262
1,null,8,0.1,1249,2,0.576650624627502,0.48234404224995964,0.09430658237754241
1,real,8,0.1,1244,3,0.818484834198445,0.7580229575936438,0.06046187660480118
1,null,8,0.1,1244,3,0.5863859092547182,0.5105301405198283,0.07585576873488997
1,real,8,0.1,1238,4,0.8227883462530532,0.7503282974919862,0.07246004876106704
1,null,8,0.1,1238,4,0.5846351914570338,0.5197560229735553,0.06487916848347852
1,real,8,0.1,1249,5,0.8231804589813277,0.7627957139423511,0.06038474503897662
1,null,8,0.1,1249,5,0.5912743571346419,0.4951086739925641,0.09616568314207785
1,real,8,0.25,3096,0,0.8022132725895054,0.759035240546174,0.04317803204333137
1,null,8,0.25,3096,0,0.5573268555264448,0.5149287881353434,0.04239806739110141
1,real,8,0.25,3108,1,0.8051933964491435,0.767638549403346,0.03755484704579748
1,null,8,0.25,3108,1,0.5505570664329906,0.5072184113118432,0.04333865512114743
1,real,8,0.25,3100,2,0.8070737601715122,0.7700829241249092,0.036990836046603026
1,null,8,0.25,3100,2,0.5456545154302626,0.5011208812608867,0.044533634169375835
1,real,8,0.25,3112,3,0.7987881650612039,0.7632660272136015,0.035522137847602386
1,null,8,0.25,3112,3,0.5500421145980445,0.5003308031980216,0.04971131140002294
