a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,patient,budget,2,3,-0.0006081444914828661,-0.006814085528967386,0.005278693730824193,0.4273333333333333,0.002192967843607477
queryseq,patient,budget,3,3,0.0016218452647700071,-0.003939707820214745,0.007288039939483695,0.7040000000000001,0.0011976439098433614
queryseq,patient,budget,4,3,-9.812221796364822e-05,-0.004495821350361327,0.004331138904403142,0.5133333333333333,0.0007086120670792139
queryseq,finding,avail,T2cor,3,-0.0004820168062894136,-0.0063731454579751545,0.005460015436421138,0.5906666666666667,0.004300726778237741
queryseq,finding,avail,FLAIRax,3,-0.0004314700910849826,-0.005445085045939821,0.0049399180097743954,0.5673333333333334,0.0031519725403715173
queryseq,finding,avail,T2ax,3,0.0041962391104737535,-0.0012600923368574443,0.009580192079646726,0.9213333333333334,0.0005980818932231684
queryseq,finding,avail,T1ax,3,0.0022587853192413986,-0.0049014368688449885,0.009239005622503701,0.6466666666666666,0.0028837045409762017
queryseq,finding,avail,FLAIRax+T2cor,3,-0.0004168070954760537,-0.006314898055393606,0.0057520572668012596,0.508,0.004064208076644432
queryseq,finding,avail,T2ax+T2cor,3,0.0016537704986710929,-0.003389174419929659,0.006659978793106941,0.6946666666666667,0.003333998040876907
queryseq,finding,avail,T2ax+FLAIRax,3,0.0020345045944157956,-0.0032338475598060815,0.007346036182941673,0.7239999999999999,0.0020116948350964396
queryseq,finding,avail,T1ax+T2cor,3,-0.0004212198238685557,-0.006634541354021435,0.0057966355567084125,0.5379999999999999,0.0040316288242727765
queryseq,finding,avail,T1ax+FLAIRax,3,0.0011393892089741585,-0.0048428349161947866,0.007675476241239661,0.6486666666666666,0.0015801828587432875
queryseq,finding,avail,T1ax+T2ax,3,0.0021975961594134156,-0.0036286788979952443,0.007990201571617934,0.7600000000000001,0.0010588612785665732
queryseq,finding,avail,T2ax+FLAIRax+T2cor,3,0.001145312794209626,-0.0044133939282060145,0.006661692689589609,0.6413333333333333,0.00311249298947319
queryseq,finding,avail,T1ax+FLAIRax+T2cor,3,0.0004044201666556623,-0.005395900960000285,0.006841587467556043,0.5806666666666667,0.0026465193842624374
queryseq,finding,avail,T1ax+T2ax+T2cor,3,0.000892480609420533,-0.004531308073859041,0.0064396392457652454,0.6713333333333334,0.002315605739728594
queryseq,finding,avail,T1ax+T2ax+FLAIRax,3,0.0020132831775468785,-0.003752371784801312,0.00792147585977532,0.7533333333333333,0.0012712708166263322
queryseq,finding,avail,T1ax+T2ax+FLAIRax+T2cor,3,0.0010446002105012205,-0.004623287244295214,0.006627164685433079,0.6493333333333333,0.002210412435024551
queryseq,finding,budget,1,3,0.0010107966788454892,-0.006566145975868032,0.008861917066110515,0.6013333333333334,0.0021723225058586197
