finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral infarction,26,0.8502484357747515,0.27626864680505986,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral hemorrhage,20,0.852790973871734,0.17389681422929085,uniform,0,availability,T1ax+T2ax,2,-1
Gliosis,284,0.7199424923241873,0.5584650462086947,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral atrophy,102,0.916795665634675,0.639305009292757,uniform,0,availability,T1ax+T2ax,2,-1
Arachnoid cyst,43,0.6874804781781526,0.0890483810453024,uniform,0,availability,T1ax+T2ax,2,-1
Empty sella syndrome,45,0.633999728002176,0.08341801990725264,uniform,0,availability,T1ax+T2ax,2,-1
Cyst of pineal gland,21,0.7436158767906687,0.06154904643219744,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral edema,43,0.8820739983530681,0.4636844793117123,uniform,0,availability,T1ax+T2ax,2,-1
Mastoiditis,22,0.6647727272727273,0.06586244092813748,uniform,0,availability,T1ax+T2ax,2,-1
Ventriculomegaly,64,0.8987703634085213,0.428995213419176,uniform,0,availability,T1ax+T2ax,2,-1
Cerebellar degeneration,39,0.8355921114122816,0.31981113220621843,uniform,0,availability,T1ax+T2ax,2,-1
Mega cisterna magna,22,0.5856060606060607,0.03205750422529961,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral infarction,26,0.8338240706661759,0.26330431569722673,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8811163895486936,0.16558537720410188,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7182276183049857,0.5682356665666717,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.929437564499484,0.662389802320902,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6942669733367408,0.12159053893309732,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.6283693730450156,0.07986568537776673,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7567521657890267,0.07544888699746387,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.915523752733055,0.4931710498274801,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6606060606060605,0.0698590950175307,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8813439849624061,0.41223722834600135,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8435056235785275,0.28859442472354135,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.5801406926406927,0.033487626033332135,uniform,0,availability,FLAIRax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.840311004784689,0.2286147425543538,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral hemorrhage,20,0.8774346793349168,0.16568327283695405,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Gliosis,284,0.7237377552512306,0.5525352167669744,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral atrophy,102,0.9235036119711042,0.6340984677850545,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Arachnoid cyst,43,0.6920805292898317,0.09275926599384705,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Empty sella syndrome,45,0.641343669250646,0.08278256384510893,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cyst of pineal gland,21,0.7717003567181926,0.06785848698095726,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral edema,43,0.9020359485475764,0.4515332625583588,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mastoiditis,22,0.6691558441558442,0.07086411450342688,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Ventriculomegaly,64,0.8859453320802005,0.4234072114466547,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebellar degeneration,39,0.8354986447331525,0.3063445425531382,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Mega cisterna magna,22,0.5655303030303029,0.03018007546191635,uniform,0,availability,T2ax+FLAIRsag+SWIax,3,-1
Cerebral infarction,26,0.8382867132867133,0.2580389755685636,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral hemorrhage,20,0.8729809976247032,0.15529134893341648,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Gliosis,284,0.724127637799113,0.5620478912768571,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral atrophy,102,0.9304566563467492,0.6658805860162091,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Arachnoid cyst,43,0.6983843030354658,0.09715585271012442,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Empty sella syndrome,45,0.6275261797905617,0.08283072483895623,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cyst of pineal gland,21,0.7630938225468546,0.06841638864292598,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral edema,43,0.9020359485475764,0.4726486060785879,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Mastoiditis,22,0.6378246753246753,0.0733342363707952,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Ventriculomegaly,64,0.8914473684210527,0.4188753985189684,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebellar degeneration,39,0.8570894476119263,0.3114110755850738,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Mega cisterna magna,22,0.6347943722943723,0.03775923389056157,uniform,0,availability,T2ax+FLAIRax+SWIax,3,-1
Cerebral infarction,26,0.8369985277880014,0.2711412930716365,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral hemorrhage,20,0.8713776722090262,0.1665108573314087,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Gliosis,284,0.7268750913787221,0.570808192656597,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral atrophy,102,0.9376289989680082,0.693311734693145,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Arachnoid cyst,43,0.6948064855041599,0.09962944085262372,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Empty sella syndrome,45,0.6295117639058888,0.07979017966782374,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cyst of pineal gland,21,0.7636034199648943,0.07219139995460692,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Cerebral edema,43,0.9031433682596474,0.461720364381086,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
Mastoiditis,22,0.6732142857142858,0.06755096979274222,uniform,0,availability,T2ax+FLAIRax+FLAIRsag,3,-1
