a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,label_id,avail,T1ax+T2ax,3,-0.0027726509290047063,-0.006788210747202991,0.0013967307209796726,0.08,2000
queryseq,label_id,avail,FLAIRax+FLAIRsag+SWIax,3,-0.0024928493044933235,-0.006606128579394341,0.0015286188722422802,0.1155,2000
queryseq,label_id,avail,T2ax+FLAIRsag+SWIax,3,-0.0011720384065464896,-0.004893166548954438,0.002500996998427381,0.2695,2000
queryseq,label_id,avail,T2ax+FLAIRax+SWIax,3,-0.0015077696012553061,-0.005270956496209446,0.0024066777772103276,0.2345,2000
queryseq,label_id,avail,T2ax+FLAIRax+FLAIRsag,3,-0.001240452351862499,-0.005207667662274672,0.002656118705957695,0.2705,2000
queryseq,label_id,avail,T1ax+FLAIRsag+SWIax,3,-0.005076945825801084,-0.008842937146549164,-0.0010872764931293898,0.004,2000
queryseq,label_id,avail,T1ax+FLAIRax+SWIax,3,-0.0038037843505784106,-0.007620197025693321,1.9450990759754225e-05,0.026,2000
queryseq,label_id,avail,T1ax+FLAIRax+FLAIRsag,3,-0.0017631355151174971,-0.0058940062594419135,0.0022518153812232117,0.204,2000
queryseq,label_id,avail,T1ax+T2ax+SWIax,3,-0.0019438217984923184,-0.005527453163891565,0.0016384667923683557,0.139,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRsag,3,-0.0025901292986349835,-0.007001582250664792,0.0016084985631738963,0.1155,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax,3,-0.00169929272705805,-0.0056963922559816705,0.002259584751002361,0.2015,2000
queryseq,label_id,avail,T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.00150355132755166,-0.0051516263778837055,0.0019083026293806025,0.218,2000
queryseq,label_id,avail,T1ax+FLAIRax+FLAIRsag+SWIax,3,-0.003677849983434838,-0.007496323325168885,1.2503590088107785e-05,0.026,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRsag+SWIax,3,-0.001957873984053609,-0.00570838564196177,0.0015814898524916885,0.1505,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+SWIax,3,-0.0021222267910202017,-0.005664659645443004,0.0014818756001448684,0.126,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag,3,-0.0017927432266928599,-0.005679365522185998,0.0021449839735429165,0.1875,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.002069348985981215,-0.005561528682555192,0.001270942865317788,0.1255,2000
queryseq,label_id,budget,1,3,0.0008035369707640583,-0.009120018061547663,0.01043964365896536,0.5475,2000
queryseq,label_id,budget,2,3,-0.0020965892724848626,-0.008280441033621213,0.003885422641164667,0.2365,2000
queryseq,label_id,budget,3,3,-0.0035536079085657455,-0.008622593214493017,0.0016269914345728668,0.087,2000
queryseq,label_id,budget,4,3,-0.0017591184669981292,-0.005598017952694676,0.0020873315837452886,0.187,2000
queryseq,label_id,budget,5,3,-0.002604524522041136,-0.005778040984175955,0.0008819939647414409,0.0715,2000
