mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
patient,0.1,0.02,1,0.7848672028114011,0.7952090192949544,0.7909550795759565,0.7787732422015687,0.7916354939242852,0.6614183067791315,0.7945932703773946,0.6599187753826928,0.004025270696729422,0.0018060804577544332,5.238689482212067e-10,0.0
patient,0.25,0.0,0,0.7837484433952502,0.8005742473557749,0.7954151494993688,0.7821306445862531,0.7954368081036879,0.6497219065845344,0.801323627502296,0.6571377309969499,0.3529573976993561,0.16409410536289215,5.587935447692871e-08,1.071767095463778
patient,0.25,0.0,1,0.7840558213327122,0.7957923575230935,0.7914213997642826,0.7804389247943593,0.7923473660586199,0.65743675617487,0.7930084738761972,0.6495723939955744,0.35999664664268494,0.14885622262954712,3.725290298461914e-08,0.989844278943805
patient,0.25,0.02,0,0.7853219077861446,0.7993568878038654,0.7945701719192734,0.7818730184827043,0.793039110920234,0.6622305529522025,0.7988672299100634,0.6600124960949703,0.0031865737400949,0.0018120715394616127,4.3655745685100555e-10,0.0
patient,0.25,0.02,1,0.7848672028114011,0.7952090192949544,0.7909550795759565,0.7787732422015687,0.7916354939242852,0.6614183067791315,0.7945932703773946,0.6599187753826928,0.004025270696729422,0.0018060804577544332,5.238689482212067e-10,0.0
patient,1.0,0.0,0,0.7837484433952502,0.8005742473557749,0.7954151494993688,0.7821306445862531,0.7954368081036879,0.6497219065845344,0.801323627502296,0.6571377309969499,0.3529573976993561,0.16409410536289215,5.587935447692871e-08,1.071767095463778
patient,1.0,0.0,1,0.7840558213327122,0.7957923575230935,0.7914213997642826,0.7804389247943593,0.7923473660586199,0.65743675617487,0.7930084738761972,0.6495723939955744,0.35999664664268494,0.14885622262954712,3.725290298461914e-08,0.989844278943805
patient,1.0,0.02,0,0.7853219077861446,0.7993568878038654,0.7945701719192734,0.7818730184827043,0.793039110920234,0.6622305529522025,0.7988672299100634,0.6600124960949703,0.0031865737400949,0.0018120715394616127,4.3655745685100555e-10,0.0
patient,1.0,0.02,1,0.7848672028114011,0.7952090192949544,0.7909550795759565,0.7787732422015687,0.7916354939242852,0.6614183067791315,0.7945932703773946,0.6599187753826928,0.004025270696729422,0.0018060804577544332,5.238689482212067e-10,0.0
finding,0.05,0.0,0,0.7839402153720856,0.7983748735086259,0.7935131318466696,0.7826153636824793,0.7891636317602082,0.6593876913464541,0.7969997828373853,0.6708216182442986,0.5001787543296814,0.015436443500220776,0.016728665679693222,1.837837837837838
