finding,n_pos,pair,context,synergy,synergy_sd_seed
Subdural intracranial hemorrhage,26,T1ax|T2ax,T2cor,0.015583661453998884,0.009016885730182472
Subdural intracranial hemorrhage,26,T1ax|T2ax,FLAIRax+T2cor,0.01185685244299813,0.009184117366303703
Subdural intracranial hemorrhage,26,T1ax|FLAIRax,none,-0.40844657119079847,0.021200799543619458
Subdural intracranial hemorrhage,26,T1ax|FLAIRax,T2ax,-0.07720410140481171,0.017284300074524743
Subdural intracranial hemorrhage,26,T1ax|FLAIRax,T2cor,-0.025126072861419286,0.009399689061064148
Subdural intracranial hemorrhage,26,T1ax|FLAIRax,T2ax+T2cor,-0.02885288187242004,0.013880068774666363
Subdural intracranial hemorrhage,26,T1ax|T2cor,none,-0.3848260235915653,0.01583249335084231
Subdural intracranial hemorrhage,26,T1ax|T2cor,T2ax,-0.02318684867530337,0.014066470849422042
Subdural intracranial hemorrhage,26,T1ax|T2cor,FLAIRax,-0.0015055252621861321,0.01279541199985272
Subdural intracranial hemorrhage,26,T1ax|T2cor,T2ax+FLAIRax,0.025164370857088298,0.010695795695262782
Subdural intracranial hemorrhage,26,T2ax|FLAIRax,none,-0.2504828652697214,0.015013336704403172
Subdural intracranial hemorrhage,26,T2ax|FLAIRax,T1ax,0.08075960451626533,0.008069458168803235
Subdural intracranial hemorrhage,26,T2ax|FLAIRax,T2cor,0.0008503190119532045,0.005187899157637723
Subdural intracranial hemorrhage,26,T2ax|FLAIRax,T1ax+T2cor,-0.002876489999047549,0.0017157388847456776
Subdural intracranial hemorrhage,26,T2ax|T2cor,none,-0.2749837492288647,0.015426117047649835
Subdural intracranial hemorrhage,26,T2ax|T2cor,T1ax,0.08665542568739722,0.01723253553648159
Subdural intracranial hemorrhage,26,T2ax|T2cor,FLAIRax,-0.02365056494719009,0.014025491190246943
Subdural intracranial hemorrhage,26,T2ax|T2cor,T1ax+FLAIRax,0.003019331172084342,0.009500084878913666
Subdural intracranial hemorrhage,26,FLAIRax|T2cor,none,-0.2893108223925275,0.0056706050244793695
Subdural intracranial hemorrhage,26,FLAIRax|T2cor,T1ax,0.09400967593685168,0.013901243378773007
Subdural intracranial hemorrhage,26,FLAIRax|T2cor,T2ax,-0.03797763811085286,0.015489574197005597
Subdural intracranial hemorrhage,26,FLAIRax|T2cor,T1ax+T2ax,0.010373581421538805,0.01189660695664308
Gliosis,3854,T1ax|T2ax,none,-0.2888655223114263,0.0013223674789393958
Gliosis,3854,T1ax|T2ax,FLAIRax,-0.0010910219587346355,0.0007558676461877299
Gliosis,3854,T1ax|T2ax,T2cor,-0.004631557698481152,0.0013646262514943502
Gliosis,3854,T1ax|T2ax,FLAIRax+T2cor,-0.0020207615756526,6.807833708556621e-05
Gliosis,3854,T1ax|FLAIRax,none,-0.28754246843955655,0.00031755173999818074
Gliosis,3854,T1ax|FLAIRax,T2ax,0.0002320319131351075,0.0005516150900144331
Gliosis,3854,T1ax|FLAIRax,T2cor,-0.003454252693516735,0.0011976626258545632
Gliosis,3854,T1ax|FLAIRax,T2ax+T2cor,-0.0008434565706881836,0.00010492267871889707
Gliosis,3854,T1ax|T2cor,none,-0.28216113507194257,0.0018951049470665637
Gliosis,3854,T1ax|T2cor,T2ax,0.002072829541002593,0.0006729148331293735
Gliosis,3854,T1ax|T2cor,FLAIRax,0.0019270806740972664,0.0008517366442567639
Gliosis,3854,T1ax|T2cor,T2ax+FLAIRax,0.0009973410571793018,0.00028218697218556553
