subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
T1ax+FLAIRsag,2,Spinal stenosis,43,0.6587356464784646,0.01382426460578463,0.5444037724684003,0.7181825720631563
T1ax+FLAIRsag,2,Mastoiditis,265,0.6595446177081783,0.002378277939800481,0.6294982856227489,0.6900470112978484
T1ax+FLAIRsag,2,Chronic mastoiditis,211,0.781382576598283,0.004684109894681054,0.7453674848405629,0.8087696779818387
T1ax+FLAIRsag,2,Ventriculomegaly,889,0.90181909146352,0.001762450729831169,0.8936177509437383,0.9142759838502664
T1ax+FLAIRsag,2,Cerebellar degeneration,351,0.8237622969983067,0.0004313317201729009,0.8035075658837328,0.8461331841824306
T1ax+FLAIRsag,2,Mega cisterna magna,104,0.6762749778480751,0.015637098799002547,0.6474029330071249,0.740473885922787
T1ax+FLAIRsag,2,Structure of cave of septum pellucidum,99,0.6798497491955637,0.0029921916908042506,0.6353729238990495,0.7218271046314703
T1ax+FLAIRsag,2,Hyperostosis of skull,34,0.7383440287109608,0.014814412848986228,0.6860101211528621,0.8358742867757887
T1ax+FLAIRsag,2,Watershed infarct,36,0.8385477895336825,0.017890500013502,0.7650651326377534,0.8771738577873346
T1ax+FLAIRsag,2,Foraminal Spinal Stenosis,60,0.7422110313463577,0.0032161383121005653,0.686982364844244,0.7807510414231201
T1ax+FLAIRsag,2,Lipoma of brain,22,0.5973748799487781,0.020316217660982048,0.4972855270209283,0.7334250596685198
T1ax+FLAIRsag,2,Glioma,66,0.7622201428891683,0.001575596081038606,0.7015153281345935,0.8231193217429071
T1ax+FLAIRsag,2,Pituitary adenoma,25,0.5996847423854256,0.03156009989106157,0.4756254926492969,0.6766036418770042
T1ax+FLAIRax,2,Cerebral infarction,424,0.8048745907461831,0.0001818960421896813,0.7817170377827021,0.825024166540217
T1ax+FLAIRax,2,Cerebral hemorrhage,294,0.8246498144995625,0.004592326828267888,0.7866809440086182,0.8484742800922556
T1ax+FLAIRax,2,Metastatic malignant neoplasm to brain,373,0.8820897954897169,0.0022391434957867284,0.8633229702376559,0.9006738168550035
T1ax+FLAIRax,2,Intracranial meningioma,181,0.7446396684922941,0.00627629244107167,0.7006817907840386,0.7752013173677996
T1ax+FLAIRax,2,Demyelinating disease of central nervous system,250,0.8279647818002843,0.0014800212477710981,0.7961684475278434,0.853125514391685
T1ax+FLAIRax,2,Herniation of nucleus pulposus,138,0.707643472519098,0.009336461545185649,0.6602255585266071,0.737634785835834
T1ax+FLAIRax,2,Spinal cord compression,74,0.6088041577364467,0.0011900165207611101,0.5516153705283082,0.676129628907902
T1ax+FLAIRax,2,Lacunar infarct,213,0.8063335958622712,0.0023183149926877316,0.7790114160640602,0.8377717637518638
T1ax+FLAIRax,2,Silent micro-hemorrhage of brain,195,0.7294538203214002,0.0010448059753547722,0.7007416638239479,0.7676524770752278
T1ax+FLAIRax,2,Cavernous hemangioma,78,0.5282799087952066,0.019219761062563418,0.4351494373256623,0.5669914106704557
T1ax+FLAIRax,2,Subdural intracranial hemorrhage,44,0.8131371204828258,0.01723180764333318,0.708108469363084,0.8803401865905331
T1ax+FLAIRax,2,Gliosis,3534,0.7811253735242514,0.0014124141652847888,0.7707060165969623,0.7908342356671292
T1ax+FLAIRax,2,Cerebral atrophy,1310,0.9216998481719085,0.0010099669922261926,0.9152001643747444,0.9312286035837499
T1ax+FLAIRax,2,Encephalomalacia,236,0.7641741151994491,0.001962447226044162,0.7346221678021038,0.7982540069742174
T1ax+FLAIRax,2,Arachnoid cyst,389,0.7306769208924377,0.008036500298119038,0.6956715613748372,0.7442788348746007
T1ax+FLAIRax,2,Empty sella syndrome,351,0.715916259103607,0.006120493566958319,0.689342347517523,0.7495421116465794
T1ax+FLAIRax,2,Intracranial aneurysm,61,0.6458270385230677,0.003920123200956424,0.5586963482416399,0.7271107393608014
T1ax+FLAIRax,2,Chiari malformation,56,0.7654582128449539,0.01302022233560437,0.7192137275191371,0.8435840304116607
T1ax+FLAIRax,2,Schwannoma,38,0.7337215299070766,0.016730063945570167,0.6612867867884769,0.7725528289755313
T1ax+FLAIRax,2,Cyst of pineal gland,103,0.5931542424780796,0.014748260159760164,0.5264369912428347,0.631872270877424
T1ax+FLAIRax,2,Hemangioma of vertebral column,31,0.5703903678333597,0.03104763800283669,0.43132349616758464,0.6360690573473903
T1ax+FLAIRax,2,Cerebral edema,533,0.9011530555920251,0.0004796713291277775,0.8854428972393187,0.9166449582702927
T1ax+FLAIRax,2,Spinal stenosis,43,0.6317800439414666,0.0029429618486818848,0.5422213087968901,0.7111361345732836
T1ax+FLAIRax,2,Mastoiditis,265,0.6802358077158401,0.007306978292446246,0.6375131258613764,0.7090053971766668
T1ax+FLAIRax,2,Chronic mastoiditis,211,0.7943206933821685,0.0025847820905599136,0.7631129582519304,0.8199716838232357
T1ax+FLAIRax,2,Ventriculomegaly,889,0.9005004724832726,0.0011870460398443322,0.8868364353010167,0.9093114187183526
T1ax+FLAIRax,2,Cerebellar degeneration,351,0.8322157776740097,0.0025381684377864078,0.8129944581356569,0.8561526585297528
T1ax+FLAIRax,2,Mega cisterna magna,104,0.7224046363081781,0.01032526000783889,0.6818600426335995,0.7762355497372893
T1ax+FLAIRax,2,Structure of cave of septum pellucidum,99,0.7243732425032189,0.01705046136144639,0.6704707509318228,0.7763242929803117
T1ax+FLAIRax,2,Hyperostosis of skull,34,0.7509228822419018,0.012683158987572328,0.67580633065533,0.8387648312583412
T1ax+FLAIRax,2,Watershed infarct,36,0.8202281714224645,0.01896553745827941,0.7485397986143992,0.8709083136959437
T1ax+FLAIRax,2,Foraminal Spinal Stenosis,60,0.7271081110039644,0.007183069820892523,0.6730701923855502,0.7764054955999558
T1ax+FLAIRax,2,Lipoma of brain,22,0.6317014451418465,0.03801322041626523,0.5571715798134167,0.7854213193735081
T1ax+FLAIRax,2,Glioma,66,0.7609005244901033,0.01603733198432914,0.6813114202896824,0.814240737088587
T1ax+FLAIRax,2,Pituitary adenoma,25,0.535955024195844,0.03241644773282429,0.414005119540868,0.6100514983330122
T1ax+T2ax,2,Cerebral infarction,424,0.8081757500152517,0.0012939310111954123,0.7856315964907113,0.8277989152098462
T1ax+T2ax,2,Cerebral hemorrhage,294,0.7970429956794235,0.0037189024775660553,0.7739099637364246,0.8271816262561681
T1ax+T2ax,2,Metastatic malignant neoplasm to brain,373,0.8659665543157992,0.0009531283589938906,0.8475882544032165,0.8856859247121512
T1ax+T2ax,2,Intracranial meningioma,181,0.7214686744569697,0.011332327858448909,0.6948201426134465,0.7692499316681747
T1ax+T2ax,2,Demyelinating disease of central nervous system,250,0.8288202996828175,0.004042650405123775,0.7990409055479178,0.8507902220658499
T1ax+T2ax,2,Herniation of nucleus pulposus,138,0.6995770663200723,0.002838143870554745,0.6520801343440145,0.7356224062303168
T1ax+T2ax,2,Spinal cord compression,74,0.5784641278256473,0.015750266530840443,0.528087329689696,0.6394739235281316
T1ax+T2ax,2,Lacunar infarct,213,0.8153730297544161,0.002563239286430797,0.785804756008522,0.840821306251771
T1ax+T2ax,2,Silent micro-hemorrhage of brain,195,0.726244092454138,0.0023078639250439566,0.6929563292419497,0.7626030268047697
T1ax+T2ax,2,Cavernous hemangioma,78,0.5441909703584421,0.010174971109055323,0.47227825131399437,0.6188365258440894
T1ax+T2ax,2,Subdural intracranial hemorrhage,44,0.8234274772540897,0.010231382198277432,0.7551083290416487,0.8826714407990024
T1ax+T2ax,2,Gliosis,3534,0.7797936150225128,0.0006540420155037439,0.7694933688003684,0.7876707294992247
T1ax+T2ax,2,Cerebral atrophy,1310,0.9174343067267431,0.0008209338817567651,0.9093745823182422,0.9257307556981662
T1ax+T2ax,2,Encephalomalacia,236,0.7503320142227027,0.004606916336764401,0.7098660423741919,0.7865068670589231
T1ax+T2ax,2,Arachnoid cyst,389,0.6992926023167082,0.006062583856498205,0.6679326401829181,0.7184211607605291
T1ax+T2ax,2,Empty sella syndrome,351,0.7188445584633745,0.004929830102304898,0.6977790731219772,0.7512807016174669
T1ax+T2ax,2,Intracranial aneurysm,61,0.7177126006291297,0.00453660210842068,0.6548885355180387,0.7868601930027357
T1ax+T2ax,2,Chiari malformation,56,0.7661314177593496,0.026227747355390917,0.7253674191001428,0.8462580914116391
T1ax+T2ax,2,Schwannoma,38,0.7177468658283871,0.03057080216096189,0.6198720432306759,0.74541601764725
T1ax+T2ax,2,Cyst of pineal gland,103,0.6078525121838215,0.01311930219854778,0.5534545563808753,0.6509178001504617
T1ax+T2ax,2,Hemangioma of vertebral column,31,0.6144296435142752,0.0065892036656344626,0.5335850334183039,0.6889693910605996
T1ax+T2ax,2,Cerebral edema,533,0.8819809432249558,0.0013301398611678796,0.8659354622957568,0.8969697893055536
T1ax+T2ax,2,Spinal stenosis,43,0.629257555030469,0.025373523372759933,0.5081144292276945,0.6732170742530268
T1ax+T2ax,2,Mastoiditis,265,0.6980844068151626,0.0058815915762094875,0.6598171561291958,0.7315837944874687
T1ax+T2ax,2,Chronic mastoiditis,211,0.8042878211818371,0.007942549583255768,0.7813047883165684,0.8393355570712753
T1ax+T2ax,2,Ventriculomegaly,889,0.8980859180584552,0.0016190449220378714,0.8861053297793225,0.9086345232140275
T1ax+T2ax,2,Cerebellar degeneration,351,0.8270696441823774,0.004460658566719762,0.8058504924666615,0.8450439456974087
T1ax+T2ax,2,Mega cisterna magna,104,0.7470467550535372,0.017443647536794386,0.7114330359021012,0.808048652447629
T1ax+T2ax,2,Structure of cave of septum pellucidum,99,0.7492792497096349,0.003574836695003792,0.7004038282624313,0.8054593557159748
T1ax+T2ax,2,Hyperostosis of skull,34,0.7351972202493563,0.016791893617445448,0.6537675592554324,0.8057142153001049
T1ax+T2ax,2,Watershed infarct,36,0.866360696487874,0.00492822484119687,0.8028593065572082,0.9108973979311054
T1ax+T2ax,2,Foraminal Spinal Stenosis,60,0.6481356477017036,0.015766208264950905,0.6065568265649662,0.7175014652829461
T1ax+T2ax,2,Lipoma of brain,22,0.6495894814110587,0.015322745087305998,0.5885842676445271,0.7505852220460637
T1ax+T2ax,2,Glioma,66,0.7723124891024536,0.013527651202368688,0.6952285373153321,0.810990240866033
T1ax+T2ax,2,Pituitary adenoma,25,0.5552597495018503,0.007258451027126893,0.44900330297123825,0.6878486185840282
T2ax+FLAIRax+FLAIRsag,3,Cerebral infarction,424,0.8184584165164287,0.003467150335032055,0.7929459005088157,0.836179355404268
T2ax+FLAIRax+FLAIRsag,3,Cerebral hemorrhage,294,0.8225133259516944,0.001729431850450557,0.79324629430947,0.8449134324175008
T2ax+FLAIRax+FLAIRsag,3,Metastatic malignant neoplasm to brain,373,0.8952392558290682,0.0027628583487787485,0.8724768283389257,0.9074268787391649
T2ax+FLAIRax+FLAIRsag,3,Intracranial meningioma,181,0.7306035085951627,0.004897020392909525,0.6895043809459444,0.773816081553472
T2ax+FLAIRax+FLAIRsag,3,Demyelinating disease of central nervous system,250,0.8400517700244267,0.0021980259181863153,0.8120821670630896,0.8642845048298959
T2ax+FLAIRax+FLAIRsag,3,Herniation of nucleus pulposus,138,0.7246558199380412,0.008140470314612213,0.6817330865824922,0.7624016273868748
T2ax+FLAIRax+FLAIRsag,3,Spinal cord compression,74,0.5699003005580965,0.007213289883856161,0.5125186578908887,0.6372394463392176
T2ax+FLAIRax+FLAIRsag,3,Lacunar infarct,213,0.8100964538136589,0.005355503584871358,0.7834621650219563,0.8387270755142915
T2ax+FLAIRax+FLAIRsag,3,Silent micro-hemorrhage of brain,195,0.7191643296666128,0.004589539941152492,0.6872143302788499,0.764542060809396
T2ax+FLAIRax+FLAIRsag,3,Cavernous hemangioma,78,0.49208931463359806,0.005760827889974697,0.42613464232409176,0.551305638555082
T2ax+FLAIRax+FLAIRsag,3,Subdural intracranial hemorrhage,44,0.8689314527238369,0.010222798052549659,0.8353744458093134,0.9279647035120155
T2ax+FLAIRax+FLAIRsag,3,Gliosis,3534,0.7870835057093281,0.0004035148893441332,0.7765150914855001,0.7968184411478766
T2ax+FLAIRax+FLAIRsag,3,Cerebral atrophy,1310,0.9258251146895488,0.0012129851841832728,0.9183883347370105,0.9338613578589763
T2ax+FLAIRax+FLAIRsag,3,Encephalomalacia,236,0.7656689889923981,0.003915166398338204,0.7307243670562235,0.8016314573265714
T2ax+FLAIRax+FLAIRsag,3,Arachnoid cyst,389,0.7317798773238743,0.0042273773829035995,0.7034569729094347,0.7504220136736827
T2ax+FLAIRax+FLAIRsag,3,Empty sella syndrome,351,0.7446649727671625,0.004436924895625626,0.7247193962224546,0.7737662537562576
T2ax+FLAIRax+FLAIRsag,3,Intracranial aneurysm,61,0.6776758506484534,0.009767075588095213,0.6087437615117256,0.7446648275913368
T2ax+FLAIRax+FLAIRsag,3,Chiari malformation,56,0.730939248356513,0.013227204683967337,0.6535038186040614,0.7971303421256226
T2ax+FLAIRax+FLAIRsag,3,Schwannoma,38,0.7375856798597242,0.03853251121383345,0.6293891500339802,0.7453352614856914
T2ax+FLAIRax+FLAIRsag,3,Cyst of pineal gland,103,0.6425059482130976,0.024055131278333565,0.5638570474716016,0.6648544124418961
T2ax+FLAIRax+FLAIRsag,3,Hemangioma of vertebral column,31,0.5898978483138196,0.010320819868831184,0.486980556355802,0.6653679892056902
