shift,held_out,method,seed,axis,n_test,macro_full,macro_avg_subset,macro_worst_subset,budget,macro_auroc,macro_auprc,worst_finding
field,3.0,uniform,1,budget,123,,,,1.0,0.8004095823268345,0.5921845306144464,0.7176596886741814
field,3.0,uniform,1,budget,123,,,,2.0,0.7935340396995499,0.595837762445675,0.7490606548577562
field,3.0,uniform,1,budget,123,,,,3.0,0.8018075949458879,0.5969702711149657,0.7579173376274826
field,3.0,uniform,1,budget,123,,,,4.0,0.7987384110003889,0.5961766995897056,0.7624798711755234
field,3.0,patient,1,availability,123,0.7827547440066581,0.7799240652223393,0.7366473939294309,,,,
field,3.0,patient,1,budget,123,,,,1.0,0.7638205140782338,0.5468514417034896,0.7444981213097155
field,3.0,patient,1,budget,123,,,,2.0,0.7489338855222257,0.5352955594884391,0.7349514563106796
field,3.0,patient,1,budget,123,,,,3.0,0.7781303590259186,0.5644217690912293,0.754428341384863
field,3.0,patient,1,budget,123,,,,4.0,0.7977806039446541,0.5932442547338718,0.7622114868491681
field,3.0,finding,1,availability,123,0.7982734579485907,0.789333084445062,0.740408947570272,,,,
field,3.0,finding,1,budget,123,,,,1.0,0.7990294404372388,0.5824163763047826,0.7420826623725174
field,3.0,finding,1,budget,123,,,,2.0,0.7935410630319865,0.5940496396522399,0.7627482555018786
field,3.0,finding,1,budget,123,,,,3.0,0.7840271527830186,0.5888541099563708,0.7600644122383252
field,3.0,finding,1,budget,123,,,,4.0,0.7975965666951806,0.5985619624395849,0.7603327965646806
field,3.0,label_id,1,availability,123,0.7939028173100674,0.7863869176153597,0.7377400474939467,,,,
field,3.0,label_id,1,budget,123,,,,1.0,0.7666820946206693,0.5784164054672055,0.729200214707461
field,3.0,label_id,1,budget,123,,,,2.0,0.7933432445064413,0.5961064557136512,0.7549563838223633
field,3.0,label_id,1,budget,123,,,,3.0,0.7988303430448704,0.5924537619091919,0.7678475577026301
field,3.0,label_id,1,budget,123,,,,4.0,0.796451349135069,0.6046073499816716,0.7608695652173912
field,3.0,queryseq,1,availability,123,0.80310586649115,0.7903881713121478,0.744355873532253,,,,
field,3.0,queryseq,1,budget,123,,,,1.0,0.7762832989124817,0.5653380883303712,0.738593666129898
field,3.0,queryseq,1,budget,123,,,,2.0,0.7885653669912401,0.5540118054502612,0.7431561996779388
field,3.0,queryseq,1,budget,123,,,,3.0,0.7911543048638899,0.5612569462049398,0.7455716586151369
field,3.0,queryseq,1,budget,123,,,,4.0,0.7970989982344888,0.5903990823322328,0.7579173376274826
field,3.0,uniform,2,availability,123,0.7979976565115026,0.7881278621762609,0.7351369398705722,,,,
field,3.0,uniform,2,budget,123,,,,1.0,0.8035954053047457,0.5862476950006529,0.7208803005904455
field,3.0,uniform,2,budget,123,,,,2.0,0.7955508144014999,0.5892413220226369,0.7501341921631777
field,3.0,uniform,2,budget,123,,,,3.0,0.8062314701809329,0.5972664373760972,0.7581857219538379
field,3.0,uniform,2,budget,123,,,,4.0,0.7979976565115026,0.5992882924061335,0.7614063338701019
field,3.0,patient,2,availability,123,0.7885825276524008,0.7830723240788757,0.7331992361535858,,,,
field,3.0,patient,2,budget,123,,,,1.0,0.7643121622265413,0.5291882320956055,0.7388620504562533
field,3.0,patient,2,budget,123,,,,2.0,0.7554109301616841,0.5321232310335594,0.7378640776699029
field,3.0,patient,2,budget,123,,,,3.0,0.7878526663647282,0.5734590438796596,0.7493290391841118
field,3.0,patient,2,budget,123,,,,4.0,0.7966869827063082,0.5909634884118575,0.7581857219538379
field,3.0,finding,2,availability,123,0.7979036159588512,0.7889236767573296,0.7338072851525056,,,,
field,3.0,finding,2,budget,123,,,,1.0,0.7970573802010259,0.5768241123627998,0.738593666129898
field,3.0,finding,2,budget,123,,,,2.0,0.7943173737655438,0.5889129564591857,0.7592592592592593
field,3.0,finding,2,budget,123,,,,3.0,0.7815299202068792,0.5866023273087985,0.7571121846484165
field,3.0,finding,2,budget,123,,,,4.0,0.7984795848035807,0.5942536815670956,0.7608695652173914
field,3.0,label_id,2,availability,123,0.7875737184207078,0.7833170853993395,0.7341886909443845,,,,
field,3.0,label_id,2,budget,123,,,,1.0,0.7779216411689744,0.5543886614909477,0.7426194310252281
field,3.0,label_id,2,budget,123,,,,2.0,0.7530631401339919,0.5548150489604653,0.7444981213097155
field,3.0,label_id,2,budget,123,,,,3.0,0.7858314804091124,0.5711323892177141,0.7555018786902845
field,3.0,label_id,2,budget,123,,,,4.0,0.7960924328571878,0.5841205689240884,0.7592592592592593
field,3.0,queryseq,2,availability,123,0.7897614311308133,0.7860858159261779,0.7377441177302356,,,,
field,3.0,queryseq,2,budget,123,,,,1.0,0.7636745036757947,0.5517436091628873,0.7431561996779388
field,3.0,queryseq,2,budget,123,,,,2.0,0.7694018412764559,0.5572043072486101,0.7447665056360708
field,3.0,queryseq,2,budget,123,,,,3.0,0.7806200655255626,0.5640734180918278,0.7485238862050456
field,3.0,queryseq,2,budget,123,,,,4.0,0.7982533740156663,0.5879768029428442,0.7595276435856146
