C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,T1ax,1000000,1,Chronic mastoiditis,25,25,2512,0.7160595094491354,0.03370462719923352
0.1,0,T1ax,1000000,1,Ventriculomegaly,26,304,2512,0.8831045003813883,0.537801615381195
0.1,0,T1ax,1000000,1,Cerebellar degeneration,27,94,2512,0.7104429544374635,0.13367621774989616
0.1,0,T1ax,1000000,1,Mega cisterna magna,28,20,2512,0.6984349919743178,0.01729645627930898
0.1,0,T1ax,1000000,1,Foraminal Spinal Stenosis,33,25,2512,0.6620667470848411,0.014701927282913613
0.1,0,T1sag+FLAIRcor,0000011,2,Cerebral infarction,0,161,2512,0.7286842390313624,0.16026073082110684
0.1,0,T1sag+FLAIRcor,0000011,2,Cerebral hemorrhage,1,127,2512,0.7605969065187607,0.23120491425898376
0.1,0,T1sag+FLAIRcor,0000011,2,Metastatic malignant neoplasm to brain,2,144,2512,0.7321579391891891,0.1790363629145446
0.1,0,T1sag+FLAIRcor,0000011,2,Intracranial meningioma,3,62,2512,0.6155497037524688,0.03466621768259707
0.1,0,T1sag+FLAIRcor,0000011,2,Demyelinating disease of central nervous system,4,66,2512,0.725563071433881,0.08815919982224674
0.1,0,T1sag+FLAIRcor,0000011,2,Herniation of nucleus pulposus,5,42,2512,0.6464815885868518,0.030851280546049752
0.1,0,T1sag+FLAIRcor,0000011,2,Spinal cord compression,6,23,2512,0.6079445211102765,0.01621686700305997
0.1,0,T1sag+FLAIRcor,0000011,2,Lacunar infarct,7,86,2512,0.8067735194309708,0.12451539762363993
0.1,0,T1sag+FLAIRcor,0000011,2,Silent micro-hemorrhage of brain,8,77,2512,0.6504973465959092,0.06226945471830651
0.1,0,T1sag+FLAIRcor,0000011,2,Gliosis,11,1027,2512,0.7154131381979484,0.6407773768641216
0.1,0,T1sag+FLAIRcor,0000011,2,Cerebral atrophy,12,324,2512,0.874644525695714,0.6001488999257446
0.1,0,T1sag+FLAIRcor,0000011,2,Encephalomalacia,13,84,2512,0.6409939593629873,0.1333769833832937
0.1,0,T1sag+FLAIRcor,0000011,2,Arachnoid cyst,14,69,2512,0.6539773502524218,0.06889019960674235
0.1,0,T1sag+FLAIRcor,0000011,2,Empty sella syndrome,15,72,2512,0.6468579234972678,0.04393953598132647
0.1,0,T1sag+FLAIRcor,0000011,2,Cyst of pineal gland,19,27,2512,0.6449362843729041,0.025414654489812356
0.1,0,T1sag+FLAIRcor,0000011,2,Cerebral edema,22,197,2512,0.8340265976691407,0.44764587872008227
0.1,0,T1sag+FLAIRcor,0000011,2,Mastoiditis,24,62,2512,0.5739763001974983,0.05583925307773861
0.1,0,T1sag+FLAIRcor,0000011,2,Chronic mastoiditis,25,25,2512,0.6424768797748291,0.021745049319142902
0.1,0,T1sag+FLAIRcor,0000011,2,Ventriculomegaly,26,304,2512,0.8730453852021357,0.5124867679941959
0.1,0,T1sag+FLAIRcor,0000011,2,Cerebellar degeneration,27,94,2512,0.7822800626506872,0.12646129532997433
0.1,0,T1sag+FLAIRcor,0000011,2,Mega cisterna magna,28,20,2512,0.5707865168539326,0.009812649386349032
0.1,0,T1sag+FLAIRcor,0000011,2,Foraminal Spinal Stenosis,33,25,2512,0.6311700844390833,0.022641952963333364
0.1,0,SWIax+FLAIRcor,0000101,2,Cerebral infarction,0,161,2512,0.7972740554435669,0.2541010507465962
0.1,0,SWIax+FLAIRcor,0000101,2,Cerebral hemorrhage,1,127,2512,0.819079218871226,0.30970817237079606
0.1,0,SWIax+FLAIRcor,0000101,2,Metastatic malignant neoplasm to brain,2,144,2512,0.7569679054054054,0.19547861913013131
0.1,0,SWIax+FLAIRcor,0000101,2,Intracranial meningioma,3,62,2512,0.7050757077024359,0.05007339403400272
0.1,0,SWIax+FLAIRcor,0000101,2,Demyelinating disease of central nervous system,4,66,2512,0.6615872543918333,0.049889054168585335
0.1,0,SWIax+FLAIRcor,0000101,2,Herniation of nucleus pulposus,5,42,2512,0.6396182764603817,0.02818638319521498
0.1,0,SWIax+FLAIRcor,0000101,2,Spinal cord compression,6,23,2512,0.5634181703844743,0.011324287557683919
0.1,0,SWIax+FLAIRcor,0000101,2,Lacunar infarct,7,86,2512,0.8367587568780077,0.17353110156767237
0.1,0,SWIax+FLAIRcor,0000101,2,Silent micro-hemorrhage of brain,8,77,2512,0.7404464119043175,0.0946555057815992
0.1,0,SWIax+FLAIRcor,0000101,2,Gliosis,11,1027,2512,0.7211131109865287,0.6499775393903295
0.1,0,SWIax+FLAIRcor,0000101,2,Cerebral atrophy,12,324,2512,0.8935171079061999,0.5771392628625792
0.1,0,SWIax+FLAIRcor,0000101,2,Encephalomalacia,13,84,2512,0.650780575821762,0.13128313688826737
0.1,0,SWIax+FLAIRcor,0000101,2,Arachnoid cyst,14,69,2512,0.6018141154555756,0.05471883300908278
0.1,0,SWIax+FLAIRcor,0000101,2,Empty sella syndrome,15,72,2512,0.694398907103825,0.06307851868087794
0.1,0,SWIax+FLAIRcor,0000101,2,Cyst of pineal gland,19,27,2512,0.6531485207541545,0.023508540300496247
0.1,0,SWIax+FLAIRcor,0000101,2,Cerebral edema,22,197,2512,0.8393461314972974,0.4174639728014232
0.1,0,SWIax+FLAIRcor,0000101,2,Mastoiditis,24,62,2512,0.6485648452929559,0.05714897449398168
0.1,0,SWIax+FLAIRcor,0000101,2,Chronic mastoiditis,25,25,2512,0.6592038600723764,0.022155217342627535
0.1,0,SWIax+FLAIRcor,0000101,2,Ventriculomegaly,26,304,2512,0.8726699561403509,0.481060004973581
0.1,0,SWIax+FLAIRcor,0000101,2,Cerebellar degeneration,27,94,2512,0.735943192017317,0.10648504659580427
0.1,0,SWIax+FLAIRcor,0000101,2,Mega cisterna magna,28,20,2512,0.6589887640449439,0.01274511444654927
0.1,0,SWIax+FLAIRcor,0000101,2,Foraminal Spinal Stenosis,33,25,2512,0.7173783675110574,0.019017930344303654
0.1,0,SWIax+T1sag,0000110,2,Cerebral infarction,0,161,2512,0.7314820441149663,0.16661950578182133
0.1,0,SWIax+T1sag,0000110,2,Cerebral hemorrhage,1,127,2512,0.7808943693359084,0.2444881022393463
0.1,0,SWIax+T1sag,0000110,2,Metastatic malignant neoplasm to brain,2,144,2512,0.7558153856981983,0.17632692281832898
0.1,0,SWIax+T1sag,0000110,2,Intracranial meningioma,3,62,2512,0.6193153390388414,0.03675021737263408
0.1,0,SWIax+T1sag,0000110,2,Demyelinating disease of central nervous system,4,66,2512,0.7017270001734435,0.05753596970045819
0.1,0,SWIax+T1sag,0000110,2,Herniation of nucleus pulposus,5,42,2512,0.6842683632157316,0.032026094264016855
0.1,0,SWIax+T1sag,0000110,2,Spinal cord compression,6,23,2512,0.5545967474278128,0.013805283488954826
0.1,0,SWIax+T1sag,0000110,2,Lacunar infarct,7,86,2512,0.8071042389616365,0.13648453651687162
0.1,0,SWIax+T1sag,0000110,2,Silent micro-hemorrhage of brain,8,77,2512,0.6898957305528147,0.06868496207545631
0.1,0,SWIax+T1sag,0000110,2,Gliosis,11,1027,2512,0.7173894085286491,0.6355367358595261
0.1,0,SWIax+T1sag,0000110,2,Cerebral atrophy,12,324,2512,0.8830052249080281,0.5717921649176585
0.1,0,SWIax+T1sag,0000110,2,Encephalomalacia,13,84,2512,0.7250872754373578,0.13498915453924484
