finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral hemorrhage,20,0.8694774346793349,0.15340497998046118,uniform,0,availability,T2ax+FLAIRax,2,-1
Gliosis,284,0.7304754130318242,0.5794948821948656,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral atrophy,102,0.9413054695562435,0.7259222645393955,uniform,0,availability,T2ax+FLAIRax,2,-1
Arachnoid cyst,43,0.7136894113638299,0.10577963220290768,uniform,0,availability,T2ax+FLAIRax,2,-1
Empty sella syndrome,45,0.6627226982184142,0.08971132167614934,uniform,0,availability,T2ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7087933865579525,0.044792936390277344,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral edema,43,0.9073742794673028,0.5192436412056004,uniform,0,availability,T2ax+FLAIRax,2,-1
Mastoiditis,22,0.6499458874458875,0.08440339599547385,uniform,0,availability,T2ax+FLAIRax,2,-1
Ventriculomegaly,64,0.9040178571428571,0.4461052899316933,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.8647537153004954,0.31239271826344117,uniform,0,availability,T2ax+FLAIRax,2,-1
Mega cisterna magna,22,0.5947510822510823,0.035499678853487926,uniform,0,availability,T2ax+FLAIRax,2,-1
Cerebral infarction,26,0.8552171512697828,0.23839195726714907,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral hemorrhage,20,0.8670427553444181,0.16878914558959612,uniform,0,availability,T1ax+SWIax,2,-1
Gliosis,284,0.7163604464155172,0.5591227412612142,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral atrophy,102,0.9123710010319918,0.5838091745702731,uniform,0,availability,T1ax+SWIax,2,-1
Arachnoid cyst,43,0.6854076156401738,0.08983786232196646,uniform,0,availability,T1ax+SWIax,2,-1
Empty sella syndrome,45,0.6322589419284645,0.09152919568140028,uniform,0,availability,T1ax+SWIax,2,-1
Cyst of pineal gland,21,0.725893211029953,0.06280437659446537,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral edema,43,0.8989124570519919,0.5468125419446176,uniform,0,availability,T1ax+SWIax,2,-1
Mastoiditis,22,0.6368506493506494,0.061083528177262904,uniform,0,availability,T1ax+SWIax,2,-1
Ventriculomegaly,64,0.8797775689223057,0.4008121372437835,uniform,0,availability,T1ax+SWIax,2,-1
Cerebellar degeneration,39,0.8373679783157304,0.22948630038772574,uniform,0,availability,T1ax+SWIax,2,-1
Mega cisterna magna,22,0.5789502164502165,0.039799668024028186,uniform,0,availability,T1ax+SWIax,2,-1
Cerebral infarction,26,0.8533308796466691,0.3282501406640086,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.869418052256532,0.20191446262798096,uniform,0,availability,T1ax+FLAIRsag,2,-1
Gliosis,284,0.7395523660997123,0.5797869164382061,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9367389060887512,0.7154172801279395,uniform,0,availability,T1ax+FLAIRsag,2,-1
Arachnoid cyst,43,0.6963114404974869,0.09571739977462583,uniform,0,availability,T1ax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6201006391948864,0.07807418364327305,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7291206613442047,0.054998544310728675,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral edema,43,0.9043643694806486,0.5058595215244672,uniform,0,availability,T1ax+FLAIRsag,2,-1
Mastoiditis,22,0.7163419913419913,0.0710107670620015,uniform,0,availability,T1ax+FLAIRsag,2,-1
Ventriculomegaly,64,0.891780231829574,0.4701611342167975,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebellar degeneration,39,0.830762999657289,0.3463601595968565,uniform,0,availability,T1ax+FLAIRsag,2,-1
Mega cisterna magna,22,0.5670454545454545,0.05472027102184079,uniform,0,availability,T1ax+FLAIRsag,2,-1
Cerebral infarction,26,0.8522267206477733,0.31588561683380617,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral hemorrhage,20,0.872624703087886,0.17535492311143014,uniform,0,availability,T1ax+FLAIRax,2,-1
Gliosis,284,0.7224036259076952,0.5814737443513582,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral atrophy,102,0.940828173374613,0.7146432788515196,uniform,0,availability,T1ax+FLAIRax,2,-1
Arachnoid cyst,43,0.6935854842831587,0.09986988911187922,uniform,0,availability,T1ax+FLAIRax,2,-1
Empty sella syndrome,45,0.6536651706786346,0.0865874832735033,uniform,0,availability,T1ax+FLAIRax,2,-1
Cyst of pineal gland,21,0.7282147103788007,0.05847499598890297,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral edema,43,0.9087656529516995,0.5540511486923898,uniform,0,availability,T1ax+FLAIRax,2,-1
Mastoiditis,22,0.6725108225108225,0.07873566792934558,uniform,0,availability,T1ax+FLAIRax,2,-1
Ventriculomegaly,64,0.901296209273183,0.4559280114186421,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebellar degeneration,39,0.8580864255226346,0.2985424822270503,uniform,0,availability,T1ax+FLAIRax,2,-1
Mega cisterna magna,22,0.59004329004329,0.03693983971197374,uniform,0,availability,T1ax+FLAIRax,2,-1
Cerebral infarction,26,0.8600018402649982,0.277308835507566,uniform,0,availability,T1ax+T2ax,2,-1
Cerebral hemorrhage,20,0.8502969121140144,0.17262427445131356,uniform,0,availability,T1ax+T2ax,2,-1
Gliosis,284,0.731218626638725,0.5748602047152952,uniform,0,availability,T1ax+T2ax,2,-1
